Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d1f50458,2025-09-23,Automatically add new PRs to WM PR Project board (#2897),1087,816,917,800,,720,1073,1074
ac8ffeb8,2025-09-23,Update default_vars for stochastic physics settings for global-worfklow. Minor document updates to reflect new HSD container (was #2885). PR template update (was #2891) (#2889),1087,816,917,800,,720,1073,1074
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),1097,812,917,799,,720,1054,1072
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),1087,817,917,801,,720,1065,1070
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),1091,813,921,797,,720,1072,1065
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),1086,802,920,800,,720,1065,1071
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1085,815,922,800,,720,1073,1073
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1088,812,917,797364,,720,1072,1073
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1087772,813,922,799668,1058,722,1074,1075
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1089,816,923,796672,1058,720,1072,1073
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1089,816,923,796672,1058,720,1072,1073
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1087,817,920,798,1061,722164,1068,1072
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1087,820,917,802472,1060,720,1066,1073
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1087,817,921,799848,1058,720,1070,1071
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1082876,816,920,798296,1057132,720,1073,1070
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1090,816,917,796460,1057924,722,1067,1073
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1095,821,916,795340,1057440,720,1066,1073
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1090,812,921,799340,1061576,720,1076,1073
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1092,815,916,799636,1061688,721,1072,1072
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1089,812,920424,801444,,720,1074,1071
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1088,814,922368,799120,1057,722,1077,1071
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1092,815,924,798144,1058,720,1072,1071
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1096,815,922,800968,1057,720,1074,1070
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1095,815,918160,800696,1058,720,1074,1071
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1102,814,919776,798840,1052,722,1072,1068
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1094,806,921,794,1059,721,1072,1067
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1092,813,918,802008,1059,721,1063,1068
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1092,813,918,804,1059,,1063,1068
