Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d1f50458,2025-09-23,Automatically add new PRs to WM PR Project board (#2897),1367,1510,1173,1498,,1994,1179,1169
ac8ffeb8,2025-09-23,Update default_vars for stochastic physics settings for global-worfklow. Minor document updates to reflect new HSD container (was #2885). PR template update (was #2891) (#2889),1367,1510,1173,1498,,1994,1179,1169
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),1367,1511,1173,1497,,1998,1177,1166
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),1367,1509,1172,1497,,1997,1174,1164
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),1365,1503,1172,1496,,1995,1180,1169
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),1362,1503,1166,1501,,1992,1179,1166
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1362,1506,1174,1502,,1998,1176,1166
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1364,1503,1173,1506672,,1998,1182,1170
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1358992,1503,1171,1503056,1161,1997,1171,1168
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1364,1513,1171,1503792,1161,1996,1177,1170
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1364,1513,1171,1503792,1161,1996,1177,1170
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1371,1504,1171,1504,1164,1992412,1179,1172
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1361,1505,1167,1506348,1167,1992,1181,1170
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1363,1506,1165,1502916,1155,1992,1186,1170
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1368664,1512,1172,1504648,1163632,1999,1182,1167
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1371,1501,1168,1504148,1165792,1993,1179,1175
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1360,1504,1172,1507040,1165428,1994,1182,1169
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1363,1508,1166,1499824,1162952,1993,1182,1168
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1367,1525,1170,1500364,1161244,1996,1180,1173
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1362,1504,1173992,1506224,,2004,1179,1171
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1364,1505,1169440,1507716,1162,1997,1183,1173
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1363,1509,1169,1504904,1161,1997,1180,1173
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1364,1508,1169,1498948,1167,1997,1178,1179
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1363,1510,1169768,1499208,1164,1999,1182,1172
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1365,1503,1164264,1503136,1158,1996,1180,1181
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1368,1513,1166,1501,1164,1997,1184,1178
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1364,1507,1169,1507624,1162,2000,1184,1178
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1364,1507,1169,1511,1162,,1184,1178
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1377,1421,1178,1518924,1185,,1174,1179
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1381,1423,1174,1524,1187,,1173,1173
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1375,1415,1171,1518316,1182,,1171,1172
5750b9e3,2025-06-20,gcycle update (#2747),1378,1411,1169,1515304,1180,,1173,1172
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1377908,1416,1170,1524696,1183,,1176,1172
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1375,1417,1174,1521,,,1174,1183
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),1376,1416,1174,1521792,1185,,1177,1179
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),1376,1416,1174,1521792,1185,,1177,1179
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1375,1403,1169,1517944,1184,,1176,1179
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1377,1402,1178,1516840,1183,,1176,1172
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1377,1402,1178,1516840,1183,,1176,1172
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",1377,1420,1173,1517936,1181,,1175,1175
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",1377,1413,1173,1528372,1181,,1175,1175
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),1384,1406,1168,1528916,1187,,1172,1174
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),1384,1406,1168,1521860,1187,,1172,1174
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),1380,1401,1175,1520256,1184,,1175,1173
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),1378,1400,1173,1514676,1183,,1172,1178
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),1373,1400,1178,1518824,1184,,1178,1174
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),1377,1404,1172,1518872,1179,,1173,1177
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),1381,1395,1173,1518208,1186,,1177,1171
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),1378,1394,1173,1527412,1185,,1177,1173
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),1377,1413,1174,1517516,1183,,1175,1169
