Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d1f50458,2025-09-23,Automatically add new PRs to WM PR Project board (#2897),1124,1268,679,1134,,1206,,684
ac8ffeb8,2025-09-23,Update default_vars for stochastic physics settings for global-worfklow. Minor document updates to reflect new HSD container (was #2885). PR template update (was #2891) (#2889),1124,1268,679,1134,,1206,,684
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),1124,1270,679,1129,,1204,,684
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),1133,1262,678,1113,,1198,,684
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),1119,1271,679,1126,,1195,,683
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),1125,1270,677,1117,,1197,,684
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1130,1260,676,1117,,1193,,684
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1128,1271,680,1118584,,1201,,684
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1127300,1263,678,1125184,677,1197,,685
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1129,1264,677,1119036,677,1194,,685
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1129,1264,677,1119036,677,1194,,685
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1129,1270,678,1129,678,1200264,,685
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1106,1262,677,1120656,679,1190,,684
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1128,1265,678,1111000,679,1197,,685
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1121516,1274,680,1114476,680628,1201,,686
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1132,1259,685,1119260,681488,1198,,683
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1126,1269,679,1122492,682980,1194,,687
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1130,1269,677,1120160,680276,1197,,686
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1133,1259,675,1115596,679920,1194,,686
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1127,1271,678616,1125204,,1201,,684
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1026,1165,644720,1025492,639,1108,,646
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1023,1164,648,1023652,642,1111,,647
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1031,1165,637,1031996,641,1104,,652
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1027,1169,642704,1029084,645,1104,,647
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1019,1165,641784,1030588,643,1103,,647
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1025,1167,640,1032,642,1103,,647
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1025,1155,641,1026512,645,1110,,645
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1025,1155,641,1012,645,,,645
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1025,1030,642,1020272,657,,,643
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1022,1041,648,1014,645,,,641
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1020,1026,639,1023308,649,,,646
5750b9e3,2025-06-20,gcycle update (#2747),1022,1032,643,1020500,650,,,648
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1019936,1044,645,1040484,651,,,647
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1009,1031,651,1024928,,,,646
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),1017,1043,639,1027796,648,,,650
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),1017,1043,639,1027796,648,,,650
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1020,1033,641,1022604,652,,,649
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1025,1028,645,1026592,648,,,646
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1025,1028,645,1026592,648,,,646
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",1018,1039,640,1028320,645,,,647
