Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d1f50458,2025-09-23,Automatically add new PRs to WM PR Project board (#2897),192,182,119,191,,140,235,194
ac8ffeb8,2025-09-23,Update default_vars for stochastic physics settings for global-worfklow. Minor document updates to reflect new HSD container (was #2885). PR template update (was #2891) (#2889),192,182,119,191,,140,235,194
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),197,185,119,201,,133,226,191
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),194,184,117,156,,147,204,188
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),192,184,121,172,,131,250,183
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),193,183,119,236,,148,227,188
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),191,183,122,233,,138,469,191
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),242,182,119,181,,135,216,192
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),275,186,119,155,181,131,240,183
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),193,188,122,308,181,139,214,183
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),193,188,122,308,181,139,214,183
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),278,184,125,210,167,142,218,187
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),299,180,117,176,180,131,205,185
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),438,180,116,162,188,131,230,192
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),191,182,118,172,202,149,219,191
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),192,181,126,239,198,135,232,188
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),189,182,118,223,188,131,220,187
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",200,182,116,215,190,130,202,177
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),189,181,116,208,187,128,208,180
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),189,179,118,148,,139,204,177
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),189,190,117,201,194,137,215,182
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",191,181,115,152,200,136,214,181
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),190,185,114,196,176,137,259,178
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),193,188,117,197,187,135,211,185
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),244,303,128,216,184,143,200,182
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",190,359,115,247,185,762,191,179
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),200,183,117,155,185,132,191,186
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),200,183,117,152,185,,191,186
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),198,181,116,155,184,,206,182
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),389,181,119,234,175,,196,183
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),251,183,117,264,168,,198,193
5750b9e3,2025-06-20,gcycle update (#2747),220,179,116,203,176,,186,191
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),734,181,114,183,180,,220,183
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",211,183,116,474,,,191,187
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),204,186,115,176,187,,196,192
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),204,186,115,176,187,,196,192
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),195,180,116,167,184,,190,189
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",281,182,119,163,183,,187,186
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),281,182,119,163,183,,187,186
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",284,182,118,182,178,,247,179
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",284,181,118,150,178,,247,179
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),274,185,115,214,188,,207,168
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),274,185,115,200,188,,207,168
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),344,191,114,150,184,,194,186
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),198,181,117,194,177,,211,165
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),208,180,117,148,184,,187,168
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),233,196,117,219,194,,204,169
