Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d1f50458,2025-09-23,Automatically add new PRs to WM PR Project board (#2897),184,111,150,125,,87,,128
ac8ffeb8,2025-09-23,Update default_vars for stochastic physics settings for global-worfklow. Minor document updates to reflect new HSD container (was #2885). PR template update (was #2891) (#2889),184,111,150,125,,87,,128
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),125,110,150,110,,90,,126
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),234,112,89,113,,88,,135
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),125,114,92,99,,86,,131
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),123,114,91,94,,88,,119
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),129,109,85,95,,88,,127
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),259,117,88,138,,89,,131
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),123,110,353,102,132,88,,118
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),126,111,87,98,132,90,,124
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),126,111,87,98,132,90,,124
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),128,117,88,97,147,96,,128
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1194,110,88,92,131,91,,132
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),219,114,87,93,133,90,,126
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),128,113,89,96,140,88,,128
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),144,117,93,93,146,87,,124
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),127,119,87,96,141,93,,130
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",126,111,85,99,139,89,,129
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),123,112,84,94,143,86,,124
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),188,113,91,95,,89,,123
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),125,114,88,138,142,96,,134
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",122,113,85,104,148,93,,128
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),128,162,86,94,147,90,,131
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),130,112,88,121,142,90,,124
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),178,248,87,93,147,89,,137
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",136,188,83,128,141,189,,124
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),172,118,88,97,153,97,,122
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),172,118,88,96,153,,,122
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),131,109,91,99,142,,,135
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),293,108,95,169,138,,,137
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),196,111,92,101,139,,,147
5750b9e3,2025-06-20,gcycle update (#2747),131,107,92,97,135,,,143
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),131,111,90,197,143,,,142
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",181,116,92,502,,,,144
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),131,115,91,102,138,,,150
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),131,115,91,102,138,,,150
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),434,118,93,99,137,,,141
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",448,109,92,288,144,,,147
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),448,109,92,288,144,,,147
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",147,111,92,142,143,,,133
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",147,114,92,99,143,,,133
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),231,112,93,154,139,,,122
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),231,112,93,95,139,,,122
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),140,122,92,105,131,,,144
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),138,123,90,96,143,,,122
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),641,110,89,120,139,,,120
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),127,113,90,109,135,,,133
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),136,111,91,190,138,,,125
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),129,108,87,108,143,,,125
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),130,112,86,95,146,,,123
