Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d1f50458,2025-09-23,Automatically add new PRs to WM PR Project board (#2897),543,486,298,424,,330,479,444
ac8ffeb8,2025-09-23,Update default_vars for stochastic physics settings for global-worfklow. Minor document updates to reflect new HSD container (was #2885). PR template update (was #2891) (#2889),543,486,298,424,,330,479,444
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),486,477,298,452,,324,492,449
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),487,501,298,421,,365,462,447
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),487,477,299,400,,324,564,449
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),541,480,302,400,,326,461,440
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),490,481,301,439,,325,823,436
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),579,483,305,401,,320,463,439
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),492,479,298,424,421,320,495,441
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),488,482,299,400,421,360,467,438
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),488,482,299,400,421,360,467,438
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),490,483,301,416,415,321,470,448
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),948,479,301,396,410,323,466,446
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),693,480,303,450,423,325,466,442
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),490,479,300,416,415,323,467,442
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),488,480,304,459,429,318,484,440
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),492,475,299,418,417,333,491,450
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",494,478,296,793,410,338,466,438
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),494,479,298,398,418,327,478,447
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),489,477,299,396,,322,461,436
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),491,475,305,399,416,327,486,454
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",506,480,300,412,433,323,482,444
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),492,491,298,450,418,326,481,443
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),562,478,300,442,409,326,475,445
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),572,560,301,489,421,329,451,442
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",516,589,299,401,405,363,461,443
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),675,481,298,397,409,323,456,450
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),675,481,298,397,409,,456,450
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),512,481,299,404,413,,461,439
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),704,479,301,487,420,,472,455
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),538,487,300,405,416,,474,453
5750b9e3,2025-06-20,gcycle update (#2747),536,482,300,416,414,,464,458
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1228,487,300,470,406,,458,451
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",549,497,303,409,,,444,457
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),513,486,301,431,420,,455,453
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),513,486,301,431,420,,455,453
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),507,491,297,399,420,,440,442
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",540,481,298,402,414,,451,452
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),540,481,298,402,414,,451,452
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",510,504,298,407,420,,483,439
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",510,495,298,422,420,,483,439
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),597,481,297,473,412,,482,428
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),597,481,297,415,412,,482,428
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),704,496,302,484,410,,447,444
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),523,508,305,493,429,,521,438
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),525,498,306,414,435,,466,439
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),629,500,305,490,421,,479,441
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),523,500,305,442,434,,468,443
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),531,496,304,413,433,,463,443
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),523,500,307,527,427,,490,445
