Hash,orion,hera,gaeac6
688de8eb,,1722,1427
7e711129,1587,1732,1428
d4bac232,1587,1732,1428
118cff46,1597,1731,1429
071b9f95,1588,1724,1427
dc9cfba6,1586,1722,1430
a180bbe4,,1719,1427
417a2cf1,1590,1721,1430
61e54d9b,1601,1720,1427
ce74044c,1599,1718,1425
d820b67f,1590,1725,1427
5e13aaf2,1602,1732,
e39a250c,1593,1718,
8b52797d,1602,1724,1430
93d51aef,1589,1730,1428
c5b3a3c8,1599,1719,
f9c10462,1594,1729,
0e960577,1589,1733,1425
065def80,1591,1718,1426
995c51d1,1591,1718,1426
1f0ab432,1585,1600,1419
8f8fddc8,1591,1600,1421
24d8dfd4,1586,1602,1421
5750b9e3,1584,1608,1426
a9999828,,1604,1420
9193010a,1586,1610,1432
43f2c3bd,1583,1600,1433
f22b2e11,1583,1600,1433
aebf9781,1583,1589,1419
4cbe50f4,1586,1592,1433
269e181a,1586,1592,1433
68fd7faa,1586,1610,1422
1c5a9f12,1586,1591,1422
aba31a4e,1588,1583,1422
b81282e5,1588,1583,1422
5a297a6e,1585,1575,1426
ff162f36,1588,1590,1424
9e4778cd,1584,1584,1419
4a566203,1586,1595,1420
4f0111b2,1583,1595,1421
c0d4de3c,1583,1587,1430
7cc588ae,1588,1605,1421
9b9a6304,1580,1603,1418
4e75e7b4,1574,1609,1422
69d03840,1588,1593,1434
0d1af3e3,1593,1611,1434
6ece76a2,1599,1583,1433
c5f801e4,1598,1608,1431
f7d8b0cd,1594,1613,1439
a8c1628d,1594,1598,1437
