Hash,orion,hera,gaeac6
688de8eb,,1728,1442
7e711129,1605,1742,1431
d4bac232,1605,1742,1431
118cff46,1611,1739,1435
071b9f95,1599,1726,1443
dc9cfba6,1609,1739,1433
a180bbe4,,1728,1437
417a2cf1,1600,1731,1433
61e54d9b,1608,1733,1440
ce74044c,1598,1731,1437
d820b67f,1598,1730,1433
5e13aaf2,1601,1726,
e39a250c,1610,1724,
8b52797d,1605,1739,1435
93d51aef,1607,1738,1439
c5b3a3c8,1608,1739,
f9c10462,1601,1732,
0e960577,1610,1728,1432
065def80,1595,1729,1432
995c51d1,1595,1729,1432
1f0ab432,1600,1613,1435
8f8fddc8,1597,1620,1437
24d8dfd4,1596,1591,1434
5750b9e3,1596,1625,1433
a9999828,,1614,1435
9193010a,1598,1617,1435
43f2c3bd,1596,1623,1434
f22b2e11,1596,1623,1434
aebf9781,1599,1587,1434
4cbe50f4,1594,1596,1435
269e181a,1594,1596,1435
68fd7faa,1594,1612,1437
1c5a9f12,1594,1618,1437
aba31a4e,1596,1600,1439
b81282e5,1596,1600,1439
5a297a6e,1596,1597,1435
ff162f36,1597,1603,1437
9e4778cd,1594,1606,1435
4a566203,1589,1602,1435
4f0111b2,1598,1590,1433
c0d4de3c,1594,1593,1434
7cc588ae,1600,1610,1435
9b9a6304,1593,1609,1434
4e75e7b4,1592,1623,1438
69d03840,1591,1606,1436
0d1af3e3,1596,1617,1436
6ece76a2,1597,1618,1444
c5f801e4,1608,1607,1441
f7d8b0cd,1597,1615,1447
a8c1628d,1600,1605,1446
