Hash,orion,hera,gaeac6
688de8eb,,1936,1701
7e711129,1799,1928,1696
d4bac232,1799,1928,1696
118cff46,1790,1923,1698
071b9f95,1788,1913,1699
dc9cfba6,1796,1925,1698
a180bbe4,,1921,1702
417a2cf1,1795,1925,1702
61e54d9b,1782,1922,1699
ce74044c,1787,1931,1698
d820b67f,1804,1930,1702
5e13aaf2,1790,1927,
e39a250c,1800,1928,
8b52797d,1792,1929,1702
93d51aef,1788,1919,1699
c5b3a3c8,1800,1925,
f9c10462,1791,1915,
0e960577,1792,1922,1691
065def80,1793,1888,1697
995c51d1,1793,1888,1697
1f0ab432,1789,1805,1693
8f8fddc8,1787,1809,1694
24d8dfd4,1783,1785,1693
5750b9e3,1767,1797,1685
a9999828,,1780,1692
9193010a,1785,1799,1693
43f2c3bd,1788,1805,1687
f22b2e11,1788,1805,1687
aebf9781,1768,1780,1691
4cbe50f4,1777,1777,1689
269e181a,1777,1777,1689
68fd7faa,1781,1801,1684
1c5a9f12,1781,1803,1684
aba31a4e,1785,1779,1698
b81282e5,1785,1779,1698
5a297a6e,1786,1788,1696
ff162f36,1784,1785,1685
9e4778cd,1775,1787,1691
4a566203,1766,1783,1689
4f0111b2,1782,1789,1695
c0d4de3c,1783,1786,1683
7cc588ae,1773,1798,1686
9b9a6304,1783,1805,1688
4e75e7b4,1774,1806,1689
69d03840,1776,1794,1682
0d1af3e3,1777,1803,1682
6ece76a2,1788,1802,1695
c5f801e4,1784,1810,1699
f7d8b0cd,1781,1805,1692
a8c1628d,1778,1792,1701
