Hash,orion,hera,gaeac6
688de8eb,,1409,1188
7e711129,1344,1404,1193
d4bac232,1344,1404,1193
118cff46,1340,1414,1191
071b9f95,1344,1431,1194
dc9cfba6,1351,1386,1183
a180bbe4,,1410,1195
417a2cf1,1335,1401,1195
61e54d9b,1344,1403,1192
ce74044c,1345,1392,1190
d820b67f,1344,1396,1194
5e13aaf2,1343,1400,
e39a250c,1342,1397,
8b52797d,1330,1395,1188
93d51aef,1355,1406,1191
c5b3a3c8,1340,1404,
f9c10462,1344,1419,
0e960577,1335,1404,1186
065def80,1335,1399,1187
995c51d1,1335,1399,1187
1f0ab432,1360,1385,1191
8f8fddc8,1346,1409,1190
24d8dfd4,1333,1386,1177
5750b9e3,1326,1378,1182
a9999828,,1378,1176
9193010a,1332,1366,1176
43f2c3bd,1324,1369,1177
f22b2e11,1324,1369,1177
aebf9781,1326,1368,1174
4cbe50f4,1323,1365,1173
269e181a,1323,1365,1173
68fd7faa,1328,1383,1176
1c5a9f12,1328,1373,1176
aba31a4e,1325,1360,1180
b81282e5,1325,1360,1180
5a297a6e,1342,1353,1171
ff162f36,1339,1365,1174
9e4778cd,1323,1358,1178
4a566203,1327,1356,1175
4f0111b2,1333,1360,1174
c0d4de3c,1323,1362,1172
7cc588ae,1333,1380,1166
9b9a6304,1327,1376,1177
4e75e7b4,1326,1394,1177
69d03840,1329,1375,1177
0d1af3e3,1333,1386,1177
6ece76a2,1342,1388,1193
c5f801e4,1349,1390,1186
f7d8b0cd,1354,1381,1192
a8c1628d,1347,1372,1196
