Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1707,1537,1578,1585,,1514,1597,1594
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1707,1538,1578,1585256,,1513,1594,1596
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1714056,1539,1580,1587916,,1512,1590,1594
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1714,1537,1577,1584800,1583,1501,1594,1592
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1714,1537,1577,1584800,1583,1501,1594,1592
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1716,1537,1574,1583,1587,1514032,1601,1599
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1717,1540,1573,1584592,1581,1513,1598,1599
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1714,1541,1574,1586784,1583,1513,1596,1597
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1724356,1541,1574,1586188,1584468,1513,1601,1599
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1717,1538,1574,1585728,1582228,1514,1598,1596
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1714,1541,1575,1588224,1583216,1512,1601,1601
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1712,1540,1571,1586108,1583464,1513,1598,1602
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1719,1540,1573,1590528,1584732,1513,1598,1600
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1705,1539,1582144,1586156,,1513,1596,1597
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1714,1537,1578388,1585504,1582,1513,1601,1601
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1717,1542,1578,1585920,1581,1514,1597,1602
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1715,1539,1577,1587936,1588,1508,1598,1601
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1715,1537,1572824,1586628,1580,1513,1599,1592
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1718,1539,1575668,1584748,1578,1513,1598,1599
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1714,1538,1571,1587,1578,1513,1596,1596
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1718,1538,1572,1585748,,1513,1597,1593
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1718,1538,1572,1587,1578,,1597,1593
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1707,1536,1572,1588676,1588,,1586,1595
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1709,1537,1575,1586,1588,,1595,1596
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1690,1528,1560,1577064,1579,,1591,1587
5750b9e3,2025-06-20,gcycle update (#2747),1695,1526,1560,1577076,1574,,1586,1587
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1699796,1527,1560,1578360,1573,,1590,1587
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1689,1528,1561,1569856,,,1591,1585
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),1694,,,1578324,,,,
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),1694,1527,1562,1578324,1578,,1585,1585
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1699,1517,1564,1576864,1573,,1590,1585
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1701,1519,1564,1575836,1582,,1590,1584
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1701,1519,1564,1575836,1582,,1590,1584
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",,1526,,1577608,,,,
