Hash,orion,hera,gaeac6
688de8eb,,2000,1719
7e711129,1876,2009,1724
d4bac232,1876,2009,1724
118cff46,1876,1983,1719
071b9f95,1875,2005,1716
dc9cfba6,1889,2007,1725
a180bbe4,,1999,1724
417a2cf1,1877,2005,1724
61e54d9b,1881,2010,1725
ce74044c,1887,2017,1724
d820b67f,1888,2009,1716
5e13aaf2,1884,2008,
e39a250c,1880,1992,
8b52797d,1885,2002,1719
93d51aef,1876,1998,1722
c5b3a3c8,1884,2002,
f9c10462,1875,2010,
0e960577,1877,2006,1719
065def80,1882,1983,1719
995c51d1,1882,1983,1719
1f0ab432,1878,1871,1728
8f8fddc8,1870,1892,1727
24d8dfd4,1872,1876,1723
5750b9e3,1875,1891,1726
a9999828,,1885,1714
9193010a,1872,1879,1717
43f2c3bd,1875,1875,1711
f22b2e11,1875,1875,1711
aebf9781,1887,1876,1722
4cbe50f4,1874,1868,1718
269e181a,1874,1868,1718
68fd7faa,1872,1893,1717
1c5a9f12,1872,1888,1717
aba31a4e,1867,1890,1726
b81282e5,1867,1890,1726
5a297a6e,1874,1875,1722
ff162f36,1880,1883,1724
9e4778cd,1874,1873,1718
4a566203,1882,1864,1717
4f0111b2,1877,1877,1716
c0d4de3c,1868,1871,1713
7cc588ae,1871,1886,1712
9b9a6304,1873,1890,1723
4e75e7b4,1871,1897,1713
69d03840,1876,1880,1720
0d1af3e3,1875,1876,1720
6ece76a2,1881,1894,1725
c5f801e4,1880,1894,1721
f7d8b0cd,1882,1893,1724
a8c1628d,1873,1864,1717
