Hash,orion,hera,gaeac6
688de8eb,,1379,1520
7e711129,1691,1375,1516
d4bac232,1691,1375,1516
118cff46,1692,1365,1518
071b9f95,1686,1375,1518
dc9cfba6,1687,1376,1520
a180bbe4,,1375,1520
417a2cf1,1686,1379,1515
61e54d9b,1692,1375,1517
ce74044c,1692,1379,1516
d820b67f,1686,1376,1519
5e13aaf2,1689,1373,
e39a250c,1692,1376,
8b52797d,1687,1376,1520
93d51aef,1689,1375,1516
c5b3a3c8,1690,1376,
f9c10462,1686,1375,
0e960577,1684,1378,1512
065def80,1679,1375,1515
995c51d1,1679,1375,1515
1f0ab432,1676,1393,1517
8f8fddc8,1678,1385,1518
24d8dfd4,1673,1383,1518
5750b9e3,1680,1384,1512
a9999828,,1378,1521
9193010a,1682,1384,1511
43f2c3bd,1680,1385,1513
f22b2e11,1680,1385,1513
aebf9781,1683,1367,1513
4cbe50f4,1676,1365,1513
269e181a,1676,1365,1513
68fd7faa,1674,1388,1517
1c5a9f12,1674,1284,1517
aba31a4e,1680,1262,1515
b81282e5,1680,1262,1515
5a297a6e,1682,1257,1510
ff162f36,1678,1260,1515
9e4778cd,1684,1263,1511
4a566203,1684,1261,1513
4f0111b2,1679,1261,1514
c0d4de3c,1679,1259,1511
7cc588ae,1679,1277,1514
9b9a6304,1680,1274,1513
4e75e7b4,1679,1279,1513
69d03840,1678,1261,1520
0d1af3e3,1681,1278,1520
6ece76a2,1688,1264,1524
c5f801e4,1685,1265,1520
f7d8b0cd,1680,1261,1525
a8c1628d,1682,1265,1518
