Hash,orion,hera,gaeac6
688de8eb,,2008,1729
7e711129,1884,2015,1724
d4bac232,1884,2015,1724
118cff46,1864,2011,1719
071b9f95,1882,2019,1727
dc9cfba6,1888,2014,1719
a180bbe4,,2010,1722
417a2cf1,1891,2010,1720
61e54d9b,1888,2021,1717
ce74044c,1887,2007,1716
d820b67f,1878,2018,1717
5e13aaf2,1887,2012,
e39a250c,1890,2013,
8b52797d,1884,2015,1718
93d51aef,1879,2016,1722
c5b3a3c8,1884,2013,
f9c10462,1880,2015,
0e960577,1892,2003,1718
065def80,1881,2011,1714
995c51d1,1881,2011,1714
1f0ab432,1885,1895,1719
8f8fddc8,1873,1894,1721
24d8dfd4,1877,1899,1712
5750b9e3,1883,1903,1710
a9999828,,1904,1715
9193010a,1877,1904,1723
43f2c3bd,1880,1904,1713
f22b2e11,1880,1904,1713
aebf9781,1875,1894,1714
4cbe50f4,1876,1889,1723
269e181a,1876,1889,1723
68fd7faa,1874,1905,1715
1c5a9f12,1874,1896,1715
aba31a4e,1878,1899,1715
b81282e5,1878,1899,1715
5a297a6e,1885,1885,1716
ff162f36,1881,1889,1717
9e4778cd,1880,1888,1723
4a566203,1875,1886,1718
4f0111b2,1880,1892,1713
c0d4de3c,1876,1887,1712
7cc588ae,1885,1897,1716
9b9a6304,1875,1900,1722
4e75e7b4,1883,1896,1715
69d03840,1885,1859,1725
0d1af3e3,1878,1878,1725
6ece76a2,1877,1891,1727
c5f801e4,1884,1901,1722
f7d8b0cd,1875,1889,1727
a8c1628d,1880,1890,1726
