Hash,orion,hera,gaeac6
688de8eb,,2015,1719
7e711129,1893,2025,1724
d4bac232,1893,2025,1724
118cff46,1886,2018,1724
071b9f95,1881,1996,1717
dc9cfba6,1886,2008,1711
a180bbe4,,2012,1717
417a2cf1,1891,2013,1720
61e54d9b,1889,2012,1725
ce74044c,1884,2026,1722
d820b67f,1885,2024,1727
5e13aaf2,1888,2023,
e39a250c,1887,2022,
8b52797d,1884,2012,1719
93d51aef,1889,2015,1715
c5b3a3c8,1883,2004,
f9c10462,1887,2029,
0e960577,1885,2013,1726
065def80,1884,2003,1727
995c51d1,1884,2003,1727
1f0ab432,1883,1876,1730
8f8fddc8,1886,1902,1724
24d8dfd4,1878,1882,1714
5750b9e3,1878,1901,1728
a9999828,,1896,1718
9193010a,1879,1893,1720
43f2c3bd,1890,1898,1722
f22b2e11,1890,1898,1722
aebf9781,1890,1891,1720
4cbe50f4,1879,1889,1720
269e181a,1879,1889,1720
68fd7faa,1884,1897,1719
1c5a9f12,1884,1900,1719
aba31a4e,1883,1907,1718
b81282e5,1883,1907,1718
5a297a6e,1883,1887,1718
ff162f36,1890,1897,1723
9e4778cd,1881,1879,1728
4a566203,1884,1891,1719
4f0111b2,1889,1895,1729
c0d4de3c,1885,1880,1728
7cc588ae,1877,1917,1723
9b9a6304,1885,1911,1727
4e75e7b4,1887,1908,1719
69d03840,1883,1882,1724
0d1af3e3,1886,1914,1724
6ece76a2,1887,1897,1727
c5f801e4,1888,1893,1719
f7d8b0cd,1886,1907,1720
a8c1628d,1889,1896,1731
