Hash,orion,hera,gaeac6
688de8eb,,1549,1728
7e711129,1883,1562,1727
d4bac232,1883,1562,1727
118cff46,1891,1544,1733
071b9f95,1888,1561,1720
dc9cfba6,1897,1566,1726
a180bbe4,,1564,1723
417a2cf1,1896,1551,1720
61e54d9b,1896,1551,1728
ce74044c,1885,1541,1729
d820b67f,1895,1565,1731
5e13aaf2,1895,1565,
e39a250c,1899,1542,
8b52797d,1889,1538,1728
93d51aef,1894,1565,1728
c5b3a3c8,1889,1560,
f9c10462,1892,1556,
0e960577,1885,1553,1727
065def80,1887,1543,1719
995c51d1,1887,1543,1719
1f0ab432,1886,1569,1725
8f8fddc8,1885,1571,1728
24d8dfd4,1888,1563,1726
5750b9e3,1879,1547,1726
a9999828,,1556,1730
9193010a,1888,1568,1724
43f2c3bd,1882,1584,1724
f22b2e11,1882,1584,1724
aebf9781,1884,1555,1719
4cbe50f4,1877,1556,1718
269e181a,1877,1556,1718
68fd7faa,1882,1552,1723
1c5a9f12,1882,1466,1723
aba31a4e,1879,1440,1718
b81282e5,1879,1440,1718
5a297a6e,1879,1447,1729
ff162f36,1879,1454,1719
9e4778cd,1876,1451,1723
4a566203,1880,1444,1730
4f0111b2,1882,1457,1718
c0d4de3c,1881,1440,1720
7cc588ae,1874,1462,1730
9b9a6304,1889,1466,1716
4e75e7b4,1879,1475,1733
69d03840,1881,1457,1720
0d1af3e3,1889,1476,1720
6ece76a2,1890,1457,1727
c5f801e4,1890,1458,1721
f7d8b0cd,1882,1467,1725
a8c1628d,1890,1457,1724
