Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),841,597,667,581,812,506,835,830
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),836,601,670,585740,812,506,834,831
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),832928,600,667,581000,812,506,834,831
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),842,595,667,580792,812,506,835,838
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),842,595,667,580792,812,506,835,838
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),835,585,665,582,810,506624,834,833
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),838,600,669,583504,809,504,835,825
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),838,597,665,580044,809,530,833,827
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),837268,599,667,585620,815184,504,833,832
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),836,599,670,584304,810848,506,831,830
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),839,596,667,610016,812932,505,835,831
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",838,601,665,586624,811764,506,836,833
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),836,599,667,583000,809732,506,832,828
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),838,621,669540,583332,805,506,836,834
