Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1136500,1274,877,1207836,1003,1939,1014,1013
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1136,1278,877,1217896,1003,1849,1015,1011
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1136,1278,877,1217896,1003,1849,1015,1011
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1135,1275,875,1208,1007,1852024,1015,1013
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1135,1277,876,1220840,1003,1852,1016,1014
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1114,1286,874,1224392,1001,1844,1008,1013
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1134752,1287,875,1218176,1002808,1836,1016,1014
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1134,1287,877,1224920,1005884,1847,1016,1013
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1133,1284,874,1237832,1001436,1860,1008,1015
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1136,1288,877,1232408,1004408,1862,1008,1012
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1142,1284,876,1225192,1002484,1835,1017,1018
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1136,1276,878844,1220004,1001,1846,1016,1016
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1116,1283,877896,1226548,1001,1872,1015,1017
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1136,1286,877,1223728,1007,1831,1015,1016
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1132,1289,879,1228884,1001,1845,1016,1016
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1130,1285,875400,1203788,1008,1867,1015,1013
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1135,1280,857280,1217756,1006,1835,1016,1016
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1131,1278,878,1226,1007,1842,1016,1015
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1139,1283,876,1218348,1007,1871,1003,1015
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1139,1283,876,1209,1007,,1003,1015
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1124,1146,882,1228468,1013,,1002,1013
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1110,1140,882,1219,1016,,1014,1011
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1127,1169,883,1215936,1007,,1011,1008
5750b9e3,2025-06-20,gcycle update (#2747),1125,1169,878,1216652,1014,,1013,1011
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1135276,1161,881,1215388,1013,,1008,1009
