Hash,orion,hera,gaeac6
688de8eb,,603,493
7e711129,655,606,491
d4bac232,655,606,491
118cff46,660,605,492
071b9f95,654,602,492
dc9cfba6,661,604,491
a180bbe4,,604,491
417a2cf1,659,604,492
61e54d9b,657,604,492
ce74044c,660,605,490
d820b67f,659,605,491
5e13aaf2,659,604,
e39a250c,658,606,
8b52797d,661,606,490
93d51aef,656,602,491
c5b3a3c8,661,604,
f9c10462,657,608,
0e960577,664,605,485
065def80,655,602,483
995c51d1,655,602,483
1f0ab432,650,604,489
8f8fddc8,652,603,490
24d8dfd4,654,603,490
5750b9e3,652,600,488
a9999828,,599,486
9193010a,652,600,487
43f2c3bd,653,603,491
f22b2e11,653,603,491
aebf9781,652,588,486
4cbe50f4,651,595,485
269e181a,651,595,485
68fd7faa,655,604,491
1c5a9f12,655,502,491
aba31a4e,654,491,490
b81282e5,654,491,490
5a297a6e,651,491,491
ff162f36,652,492,487
9e4778cd,650,492,487
4a566203,651,488,486
4f0111b2,648,494,485
c0d4de3c,651,491,485
7cc588ae,648,498,483
9b9a6304,651,505,489
4e75e7b4,653,502,486
69d03840,656,502,485
0d1af3e3,657,504,485
6ece76a2,650,496,490
c5f801e4,654,498,490
f7d8b0cd,658,493,491
a8c1628d,654,499,493
