Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),,1399,1544,,1680,1310,1689,1694
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1709,1400,1547,,1680,1309,1706,1695
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1709,1400,1547,,1680,1309,1706,1695
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1704,1405,1543,1383,1680,,1699,1693
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1699,1397,1538,,1680,1310,1696,1694
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1702,1406,1547,,1678,1310,1688,1695
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),,1399,1544,,,1310,1707,1695
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1703,1404,1547,,,1309,1705,1695
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1697,1400,1535,,,1310,1704,1694
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1683,1408,1543,,,1310,1698,1698
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1702,1405,1536,,,1310,1707,1694
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1700,1397,,,1681,1309,1706,1692
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1706,1399,,,1681,1310,1706,1693
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1696,1405,1539,,1675,1310,1706,1695
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1696,1401,1534,,1681,1309,1684,1705
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1695,1402,,,1683,1311,1705,1702
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1701,1402,,,1680,1312,1705,1700
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1702,1402,1546,1388,1681,1312,1704,1700
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1708,1400,1541,,1678,1311,1684,1701
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1708,1400,1541,1388,1678,,1684,1701
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1693,1401,1533,,1685,,1684,1701
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1688,1393,1536,1388,1690,,1703,1700
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1692,1396,1543,,1684,,1699,1702
5750b9e3,2025-06-20,gcycle update (#2747),1702,1402,1539,,1684,,1680,1703
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),,1397,1535,,1683,,1680,1704
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1692,1402,1534,,1681,,1683,1703
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),1689,1398,1544,,1681,,1678,1703
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),1689,1398,1544,,1681,,1678,1703
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1692,1382,1549,,1681,,1682,1700
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1702,1383,1547,,1683,,1693,1704
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1702,1383,1547,,1683,,1693,1704
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",1695,1399,1540,,1694,,1684,1703
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",1695,1703,1540,,1694,,1684,1703
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),1692,1680,1538,,1684,,1694,1703
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),1692,1680,1538,,1684,,1694,1703
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),1691,1667,1542,,1686,,1700,1703
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),1700,1682,1541,,1684,,1690,1701
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),1700,1671,1533,,1684,,1698,1700
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),1690,1681,1542,,1686,,1700,1699
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),1692,1673,1543,,1694,,1693,1700
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),1688,1680,1538,,1692,,1691,1701
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),1698,1671,1545,,1686,,1701,1699
9b9a6304,2025-04-11,Memcheck fixes (#2655),1696,1709,1536,,1685,,1701,1701
4e75e7b4,2025-04-10,Update upp submodule to the latest UPP (#2682),1701,1711,1533,,1693,,1705,1702
69d03840,2025-04-07,Use ESMF Redist instead of Remap for FV3 history bundles with 'cubed_sphere_grid' output grid (#2595),1696,1674,1539,,1680,,1704,1698
0d1af3e3,2025-04-02,"Convert GFS DDTs from blocked data structures to contiguous arrays: Part Deux  + CCPP updates in fv3atm/ccpp-physics: split physics in two groups, reset GFS_interstitial DDT in CCPP_driver.F90 #2651 + Hera move spack-stack to /contrib #2579 (#2610)",1691,1713,1539,,1683,,1705,1698
6ece76a2,2025-03-28,Update WW3  by merging develop  as of 2025-03-20 (#2669),1709,1710,1545,,1688,,1710,1703
c5f801e4,2025-03-27,Sync CDEPS and CMEPS to ESCOMP (#2664),1690,1703,1543,,1683,,1710,1703
f7d8b0cd,2025-03-26,"Add support for FV3 native grid (cubed sphere) to history and restart write netcdf routines + Add new cmake variable UFS_COMPILER_SUITE to support mixed Intel compilers (icx, icpx, ifort) #2504 (#2591)",1692,1702,1542,,1684,,1711,1703
a8c1628d,2025-03-24,Introduce prognostic updraft velocity to saSAS and C3 convection schemes (#2567),1700,1700,1552,,1688,,1711,1703
