Hash,orion,hera,gaeac6
688de8eb,,1751,1462
7e711129,1623,1751,1463
d4bac232,1623,1751,1463
118cff46,1618,1746,1457
071b9f95,1622,1753,1459
dc9cfba6,1627,1759,1462
a180bbe4,,1751,1458
417a2cf1,1623,1760,1459
61e54d9b,1630,1757,1454
ce74044c,1624,1750,1462
d820b67f,1623,1752,1463
5e13aaf2,1625,1750,
e39a250c,1622,1755,
8b52797d,1628,1744,1466
93d51aef,1625,1746,1454
c5b3a3c8,1621,1754,
f9c10462,1628,1746,
0e960577,1629,1754,1460
065def80,1623,1755,1465
995c51d1,1623,1755,1465
1f0ab432,1616,1640,1457
8f8fddc8,1614,1639,1459
24d8dfd4,1622,1639,1462
5750b9e3,1619,1635,1461
a9999828,,1625,1463
9193010a,1615,1636,1462
43f2c3bd,1615,1638,1460
f22b2e11,1615,1638,1460
aebf9781,1618,1608,1457
4cbe50f4,1616,1605,1463
269e181a,1616,1605,1463
68fd7faa,1615,1635,1458
1c5a9f12,1615,1637,1458
aba31a4e,1619,1609,1460
b81282e5,1619,1609,1460
5a297a6e,1617,1603,1457
ff162f36,1622,1609,1461
9e4778cd,1619,1602,1456
4a566203,1624,1604,1461
4f0111b2,1632,1603,1462
c0d4de3c,1622,1608,1453
7cc588ae,1617,1642,1458
9b9a6304,1619,1639,1462
4e75e7b4,1615,1647,1459
69d03840,1618,1606,1464
0d1af3e3,1623,1642,1464
6ece76a2,1618,1639,1465
c5f801e4,1624,1636,1463
f7d8b0cd,1624,1637,1465
a8c1628d,1621,1635,1460
