Hash,orion,hera,gaeac6
688de8eb,,1019,1039
7e711129,1247,1017,1039
d4bac232,1247,1017,1039
118cff46,1241,1017,1035
071b9f95,1227,1016,1044
dc9cfba6,1233,1017,1038
a180bbe4,,1017,1039
417a2cf1,1233,1017,1039
61e54d9b,1144,961,1102
ce74044c,1139,957,1100
d820b67f,1154,960,1105
5e13aaf2,1141,959,
e39a250c,1138,961,
8b52797d,1138,958,1101
93d51aef,1140,959,1111
c5b3a3c8,1150,958,
f9c10462,1140,957,
0e960577,1148,959,1100
065def80,1136,958,1103
995c51d1,1136,958,1103
1f0ab432,1139,956,1103
8f8fddc8,1139,957,1105
24d8dfd4,1138,955,1101
5750b9e3,1130,954,1097
a9999828,,953,1101
9193010a,1139,955,1103
43f2c3bd,1131,955,1100
f22b2e11,1131,955,1100
aebf9781,1131,944,1102
4cbe50f4,1136,944,1102
269e181a,1136,944,1102
68fd7faa,1143,952,1111
1c5a9f12,1143,876,1111
aba31a4e,1148,863,1107
b81282e5,1148,863,1107
5a297a6e,1129,864,1103
ff162f36,1137,864,1099
9e4778cd,1145,865,1099
4a566203,1140,863,1101
4f0111b2,1142,866,1103
c0d4de3c,1139,868,1104
7cc588ae,1146,875,1107
9b9a6304,1142,875,1101
4e75e7b4,1135,877,1105
69d03840,1132,863,1109
0d1af3e3,1134,879,1109
6ece76a2,1146,866,1113
c5f801e4,1143,870,1109
f7d8b0cd,1142,870,1110
a8c1628d,1148,869,1110
