Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),1353,1044,1077,1051,,922,1072,1105
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),1360,1044,1077,1052,,922,1097,1105
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),1348,1069,1077,1050,,922,1096,1103
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),1357,1061,1074,1053,,923,1071,1089
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1361,1045,1076,1052,,922,1078,1104
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1357,1039,1077,1051324,,922,1077,1104
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1344680,1043,1076,1050100,1089,922,1076,1103
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1386,1047,1078,1052092,1089,922,1091,1104
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1386,1047,1078,1052092,1089,922,1091,1104
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1362,1044,1075,1051,1097,922732,1097,1105
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1361,1046,1076,1043160,1091,922,1084,1084
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1359,1045,1076,1050632,1086,923,1097,1104
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1361168,1047,1076,1047476,1091064,923,1100,1104
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1359,1046,1077,1048516,1096044,922,1097,1105
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1245,988,1013,998076,1148948,874,1175,1148
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1242,982,1012,999408,1154752,874,1150,1151
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1246,986,1010,998304,1145740,875,1151,1147
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1249,985,1015020,1000068,,875,1156,1147
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1246,986,1012592,997488,1146,875,1153,1147
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1248,987,1012,997656,1145,874,1175,1147
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1249,986,1011,1005392,1144,874,1154,1149
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1245,983,1009296,998932,1144,875,1153,1145
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1242,984,1010684,1003328,1143,876,1156,1172
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1246,981,1013,999,1147,876,1148,1148
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1247,987,1011,1001772,1146,875,1148,1144
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1247,987,1011,999,1146,,1148,1144
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1236,986,1013,1004688,1154,,1141,1153
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1248,982,1013,999,1156,,1142,1150
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1243,986,1009,1001444,1158,,1143,1135
5750b9e3,2025-06-20,gcycle update (#2747),1237,980,1007,1000516,1154,,1151,1135
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1237132,984,1007,998436,1156,,1139,1140
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1242,977,1009,1002128,,,1146,1135
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),1239,980,1006,998700,1152,,1139,1136
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),1239,980,1006,998700,1152,,1139,1136
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1237,955,1011,999068,1154,,1142,1140
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1241,953,1008,999976,1154,,1144,1139
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1241,953,1008,999976,1154,,1144,1139
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",1237,975,1007,1000956,1154,,1140,1163
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",1237,884,1007,1286240,1154,,1140,1163
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),1245,854,1010,1283344,1156,,1142,1132
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),1245,854,1010,1286832,1156,,1142,1132
