Hash,orion,hera,gaeac6
688de8eb,,965,1047
7e711129,1215,969,1047
d4bac232,1215,969,1047
118cff46,1214,956,1042
071b9f95,1237,964,1047
dc9cfba6,1218,964,1046
a180bbe4,,966,1044
417a2cf1,1218,965,1046
61e54d9b,1221,964,1042
ce74044c,1221,966,1044
d820b67f,1225,962,1045
5e13aaf2,1215,963,
e39a250c,1217,963,
8b52797d,1213,961,1047
93d51aef,1205,958,1040
c5b3a3c8,1220,966,
f9c10462,1226,965,
0e960577,1217,967,1043
065def80,1227,968,1042
995c51d1,1227,968,1042
1f0ab432,1213,966,1043
8f8fddc8,1215,963,1046
24d8dfd4,1216,967,1044
5750b9e3,1208,963,1043
a9999828,,965,1044
9193010a,1208,962,1048
43f2c3bd,1212,965,1045
f22b2e11,1212,965,1045
aebf9781,1215,946,1043
4cbe50f4,1216,947,1044
269e181a,1216,947,1044
68fd7faa,1218,967,1046
1c5a9f12,1218,859,1046
aba31a4e,1215,846,1044
b81282e5,1215,846,1044
5a297a6e,1213,839,1044
ff162f36,1218,840,1043
9e4778cd,1219,846,1043
4a566203,1214,838,1045
4f0111b2,1212,841,1048
c0d4de3c,1214,841,1043
7cc588ae,1213,858,1043
9b9a6304,1218,861,1047
4e75e7b4,1218,832,1043
69d03840,1211,811,1046
0d1af3e3,1221,832,1046
6ece76a2,1226,813,1050
c5f801e4,1225,817,1053
f7d8b0cd,1221,811,1052
a8c1628d,1221,813,1052
