Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1123,1014,947,1003,1073,899,1083,1080
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1113,1011,940,1005044,1073,901,1094,1079
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1113716,1012,935,1003428,1073,900,1093,1080
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1119,1012,942,1002376,1073,902,1081,1080
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1119,1012,942,1002376,1073,902,1081,1080
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1107,1015,941,1002,1062,902584,1081,1076
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1109,1008,943,1006820,1068,901,1077,1081
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1109,1014,939,1004816,1077,900,1078,1080
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1135032,1015,941,1003,1065196,902,1082,1084
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1107,1014,937,1003628,1066488,900,1082,1083
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1121,1012,948,1002664,1071584,901,1077,1079
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1110,1014,942,1003700,1070232,900,1089,1074
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1117,1012,945,1005404,1059836,915,1082,1076
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1115,1011,940592,1005224,1081,914,1082,1074
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1135,1013,940144,1004980,1081,916,1082,1074
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1112,1015,942,1001032,1067,916,1092,1077
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1119,1008,940,1003616,1074,916,1091,1073
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1130,1014,941256,1001524,1075,916,1082,1078
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1112,1014,945160,999812,1072,916,1089,1079
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1131,1008,942,1000,1070,916,1079,1081
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1122,1013,945,1003124,1068,916,1079,1089
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1122,1013,945,1003,1068,,1079,1089
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1119,1018,951,1002636,1078,,1065,1076
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1130,1012,953,991,1082,,1069,1080
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1113,1007,945,990480,1078,,1080,1075
5750b9e3,2025-06-20,gcycle update (#2747),1101,1011,940,994212,1079,,1071,1071
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1123068,1012,941,1001268,1077,,1071,1089
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1116,1012,939,990036,1082,,1072,1075
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),1127,1005,943,1001436,1082,,1063,1070
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),1127,1005,943,1001436,1082,,1063,1070
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1106,997,949,987376,1086,,1071,1081
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1111,1005,941,992136,1087,,1062,1074
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1111,1005,941,992136,1087,,1062,1074
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",1111,1004,943,990404,1081,,1063,1074
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",1111,905,943,1026128,1081,,1063,1074
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),1119,897,942,1028344,1077,,1067,1088
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),1119,897,942,1029068,1077,,1067,1088
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),1105,897,939,1007168,1074,,1070,1075
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),1107,896,940,1026844,1088,,1070,1075
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),1106,896,942,1028268,1084,,1080,1087
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),1109,896,941,1006832,1075,,1084,1078
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),1113,898,939,1020912,1080,,1077,1072
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),1112,901,936,1026188,1079,,1075,1071
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),1116,911,938,1021304,1080,,1080,1074
9b9a6304,2025-04-11,Memcheck fixes (#2655),1118,910,942,1019960,1080,,1078,1081
4e75e7b4,2025-04-10,Update upp submodule to the latest UPP (#2682),1111,908,947,1015536,1080,,1075,1074
69d03840,2025-04-07,Use ESMF Redist instead of Remap for FV3 history bundles with 'cubed_sphere_grid' output grid (#2595),1119,898,938,1027576,1080,,1075,1071
0d1af3e3,2025-04-02,"Convert GFS DDTs from blocked data structures to contiguous arrays: Part Deux  + CCPP updates in fv3atm/ccpp-physics: split physics in two groups, reset GFS_interstitial DDT in CCPP_driver.F90 #2651 + Hera move spack-stack to /contrib #2579 (#2610)",1127,908,938,1034872,1079,,1076,1076
6ece76a2,2025-03-28,Update WW3  by merging develop  as of 2025-03-20 (#2669),1120,898,949,1035876,1089,,1080,1079
c5f801e4,2025-03-27,Sync CDEPS and CMEPS to ESCOMP (#2664),1119,896,942,1009736,1088,,1083,1090
