Hash,orion,hera,gaeac6
688de8eb,,952,869
7e711129,1036,952,870
d4bac232,1036,952,870
118cff46,1019,949,873
071b9f95,1028,951,872
dc9cfba6,1041,956,868
a180bbe4,,952,870
417a2cf1,1039,951,867
61e54d9b,1026,949,870
ce74044c,1026,952,872
d820b67f,1027,953,867
5e13aaf2,1031,952,
e39a250c,1030,956,
8b52797d,1027,950,873
93d51aef,1028,952,866
c5b3a3c8,1037,956,
f9c10462,1037,953,
0e960577,1045,958,867
065def80,1036,951,869
995c51d1,1036,951,869
1f0ab432,1035,949,871
8f8fddc8,1040,954,870
24d8dfd4,1032,950,871
5750b9e3,1029,954,872
a9999828,,955,866
9193010a,1028,950,872
43f2c3bd,1032,953,872
f22b2e11,1032,953,872
aebf9781,1029,939,867
4cbe50f4,1027,943,867
269e181a,1027,943,867
68fd7faa,1031,948,871
1c5a9f12,1031,840,871
aba31a4e,1026,861,871
b81282e5,1026,861,871
5a297a6e,1037,832,873
ff162f36,1031,833,867
9e4778cd,1031,831,867
4a566203,1027,837,871
4f0111b2,1034,836,873
c0d4de3c,1033,838,866
7cc588ae,1025,845,865
9b9a6304,1030,847,866
4e75e7b4,1034,845,870
69d03840,1031,834,868
0d1af3e3,1036,844,868
6ece76a2,1031,826,874
c5f801e4,1034,835,874
f7d8b0cd,1036,801,874
a8c1628d,1033,834,874
