Hash,orion,hera,gaeac6
688de8eb,,805,919
7e711129,1089,809,922
d4bac232,1089,809,922
118cff46,1099,803,925
071b9f95,1099,814,926
dc9cfba6,1100,806,926
a180bbe4,,811,926
417a2cf1,1092,809,927
61e54d9b,1098,807,926
ce74044c,1093,805,926
d820b67f,1095,812,926
5e13aaf2,1093,806,
e39a250c,1099,804,
8b52797d,1093,810,925
93d51aef,1101,807,927
c5b3a3c8,1101,808,
f9c10462,1104,797,
0e960577,1109,808,924
065def80,1097,812,922
995c51d1,1097,812,922
1f0ab432,1094,816,925
8f8fddc8,1103,815,925
24d8dfd4,1100,818,925
5750b9e3,1087,816,924
a9999828,,817,924
9193010a,1087,816,924
43f2c3bd,1090,817,927
f22b2e11,1090,817,927
aebf9781,1103,802,924
4cbe50f4,1092,796,924
269e181a,1092,796,924
68fd7faa,1097,816,925
1c5a9f12,1097,714,925
aba31a4e,1096,692,925
b81282e5,1096,692,925
5a297a6e,1089,700,925
ff162f36,1089,695,923
9e4778cd,1089,697,919
4a566203,1091,695,925
4f0111b2,1093,701,926
c0d4de3c,1087,696,923
7cc588ae,1088,709,924
9b9a6304,1090,714,926
4e75e7b4,1094,717,925
69d03840,1098,705,924
0d1af3e3,1095,720,924
6ece76a2,1096,706,929
c5f801e4,1097,706,930
f7d8b0cd,1100,708,929
a8c1628d,1109,707,926
