Hash,orion,hera,gaeac6
688de8eb,,947,870
7e711129,1040,949,873
d4bac232,1040,949,873
118cff46,1044,945,877
071b9f95,1045,944,872
dc9cfba6,1055,947,877
a180bbe4,,945,877
417a2cf1,1045,945,877
61e54d9b,1045,947,877
ce74044c,1051,946,877
d820b67f,1053,946,871
5e13aaf2,1047,948,
e39a250c,1047,947,
8b52797d,1045,949,877
93d51aef,1042,1223,870
c5b3a3c8,1059,948,
f9c10462,1056,946,
0e960577,1062,949,872
065def80,1056,949,872
995c51d1,1056,949,872
1f0ab432,1052,959,881
8f8fddc8,1052,956,877
24d8dfd4,1050,954,874
5750b9e3,1054,960,873
a9999828,,957,880
9193010a,1049,954,879
43f2c3bd,1049,958,878
f22b2e11,1049,958,878
aebf9781,1050,947,876
4cbe50f4,1055,946,875
269e181a,1055,946,875
68fd7faa,1047,951,876
1c5a9f12,1047,844,876
aba31a4e,1041,835,874
b81282e5,1041,835,874
5a297a6e,1043,835,874
ff162f36,1055,839,874
9e4778cd,1043,839,873
4a566203,1043,834,875
4f0111b2,1049,842,876
c0d4de3c,1048,838,875
7cc588ae,1052,846,877
9b9a6304,1047,854,874
4e75e7b4,1059,818,881
69d03840,1058,812,874
0d1af3e3,1065,818,874
6ece76a2,1067,803,878
c5f801e4,1068,804,876
f7d8b0cd,1065,809,880
a8c1628d,1072,805,876
