Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d1f50458,2025-09-23,Automatically add new PRs to WM PR Project board (#2897),1309,1045,1131,1042,,949,1268,1286
ac8ffeb8,2025-09-23,Update default_vars for stochastic physics settings for global-worfklow. Minor document updates to reflect new HSD container (was #2885). PR template update (was #2891) (#2889),1309,1045,1131,1042,,949,1268,1286
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),1298,1050,1131,1038,,950,1285,1288
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),1302,1046,1133,1038,,946,1282,1286
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),1304,1045,1131,1037,,948,1283,1281
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),1302,1044,1131,1037,,948,1269,1287
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1303,1042,1131,1039,,946,1283,1288
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1302,1045,1131,1041368,,947,1283,1283
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1309308,1044,1132,1039536,1267,946,1277,1289
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1304,1042,1133,1037520,1267,948,1285,1287
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1304,1042,1133,1037520,1267,948,1285,1287
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1309,1031,1132,1035,1272,946680,1282,1282
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1301,1040,1132,1039636,1268,948,1284,1282
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1309,1044,1135,1036936,1271,949,1280,1282
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1301944,1041,1131,1037832,1270964,948,1279,1286
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1305,1046,1131,1040384,1268740,946,1276,1279
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1310,1044,1131,1037756,1271712,946,1286,1286
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1306,1049,1133,1038232,1268028,946,1282,1283
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1307,1044,1132,1038072,1272840,946,1285,1286
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1308,1045,1127320,1037752,,946,1285,1281
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1295,1045,1128168,1040356,1268,946,1286,1291
