Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1224,951,1042,943,1183,859,1186,1193
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1213,955,1045,948664,1183,859,1186,1192
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1211788,953,1046,949744,1183,860,1195,1192
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1208,949,1047,944980,1183,860,1196,1191
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1208,949,1047,944980,1183,860,1196,1191
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1209,934,1042,946,1181,859880,1195,1189
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1216,952,1045,951664,1182,860,1194,1188
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1224,946,1042,948388,1183,858,1192,1190
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1211872,974,1042,952356,1184320,858,1189,1194
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1224,952,1042,946556,1181140,860,1187,1185
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1218,949,1042,947440,1181072,860,1194,1194
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1210,956,1046,944616,1181076,859,1194,1191
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1217,949,1045,945580,1183872,860,1197,1190
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1209,950,1043096,945100,1178,859,1197,1189
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1207,952,1041984,952708,1178,859,1192,1194
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1214,948,1046,944808,1187,860,1193,1193
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1201,953,1037,945124,1181,859,1200,1191
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1216,954,1046032,947156,1184,860,1198,1194
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1224,946,1040204,946824,1186,859,1199,1197
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1221,956,1039,950,1178,860,1200,1197
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1223,956,1042,943556,1181,860,1199,1196
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1223,956,1042,949,1181,,1199,1196
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1218,991,1048,948256,1190,,1192,1195
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1222,969,1047,954,1191,,1188,1192
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1221,963,1044,950048,1191,,1190,1194
5750b9e3,2025-06-20,gcycle update (#2747),1216,965,1044,953144,1189,,1194,1193
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1214372,958,1044,945032,1188,,1187,1192
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1211,959,1046,949896,1190,,1187,1188
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),1211,956,1043,947512,1190,,1185,1193
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),1211,956,1043,947512,1190,,1185,1193
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1214,939,1042,950748,1191,,1184,1195
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1215,946,1047,954588,1192,,1184,1192
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1215,946,1047,954588,1192,,1184,1192
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",1218,963,1044,945248,1187,,1184,1193
