Hash,orion,hera,gaeac6
688de8eb,,1327,1047
7e711129,1223,1346,1045
d4bac232,1223,1346,1045
118cff46,1214,1346,1045
071b9f95,1218,1348,1048
dc9cfba6,1220,1342,1049
a180bbe4,,1334,1046
417a2cf1,1222,1331,1049
61e54d9b,1219,1335,1045
ce74044c,1223,1343,1043
d820b67f,1220,1338,1044
5e13aaf2,1226,1352,
e39a250c,1221,1345,
8b52797d,1225,1334,1048
93d51aef,1218,135771201355,1043
c5b3a3c8,1222,1354,
f9c10462,1223,1350,
0e960577,1234,1342,1045
065def80,1222,1348,1046
995c51d1,1222,1348,1046
1f0ab432,1220,1247,1043
8f8fddc8,1219,1236,1044
24d8dfd4,1226,1229,1041
5750b9e3,1215,1240,1044
a9999828,,1233,1047
9193010a,1219,1239,1042
43f2c3bd,1219,1236,1043
f22b2e11,1219,1236,1043
aebf9781,1214,1206,1042
4cbe50f4,1214,1191,1043
269e181a,1214,1191,1043
68fd7faa,1216,1239,1043
1c5a9f12,1216,1234,1043
aba31a4e,1217,1201,1043
b81282e5,1217,1201,1043
5a297a6e,1211,1210,1041
ff162f36,1213,1205,1040
9e4778cd,1215,1207,1041
4a566203,1213,1205,1045
4f0111b2,1212,1205,1043
c0d4de3c,1210,1203,1040
7cc588ae,1218,1239,1041
9b9a6304,1216,1239,1046
4e75e7b4,1215,1242,1044
69d03840,1221,1206,1044
0d1af3e3,1219,1234,1044
6ece76a2,1221,1230,1050
c5f801e4,1222,1234,1050
f7d8b0cd,1219,1232,1051
a8c1628d,1215,1234,1049
