Hash,orion,hera,gaeac6
688de8eb,,946,877
7e711129,1046,944,872
d4bac232,1046,944,872
118cff46,1036,945,874
071b9f95,1031,944,872
dc9cfba6,1036,949,874
a180bbe4,,945,872
417a2cf1,1036,946,877
61e54d9b,1036,947,875
ce74044c,1033,947,873
d820b67f,1034,951,878
5e13aaf2,1037,948,
e39a250c,1034,950,
8b52797d,1039,948,878
93d51aef,1029,946,871
c5b3a3c8,1044,954,
f9c10462,1038,951,
0e960577,1044,947,874
065def80,1039,949,873
995c51d1,1039,949,873
1f0ab432,1042,959,880
8f8fddc8,1038,960,877
24d8dfd4,1036,953,873
5750b9e3,1036,957,873
a9999828,,959,874
9193010a,1042,955,874
43f2c3bd,1038,959,873
f22b2e11,1038,959,873
aebf9781,1033,943,873
4cbe50f4,1034,949,872
269e181a,1034,949,872
68fd7faa,1036,953,873
1c5a9f12,1036,850,873
aba31a4e,1039,841,875
b81282e5,1039,841,875
5a297a6e,1032,835,874
ff162f36,1035,833,880
9e4778cd,1031,833,871
4a566203,1033,838,875
4f0111b2,1041,842,872
c0d4de3c,1032,839,871
7cc588ae,1037,851,873
9b9a6304,1034,850,874
4e75e7b4,1039,817,876
69d03840,1033,810,876
0d1af3e3,1031,820,876
6ece76a2,1042,803,874
c5f801e4,1041,799,875
f7d8b0cd,1033,804,876
a8c1628d,1034,802,877
