Hash,orion,hera,gaeac6
688de8eb,,947,873
7e711129,1049,943,873
d4bac232,1049,943,873
118cff46,1045,951,876
071b9f95,1043,945,875
dc9cfba6,1052,946,875
a180bbe4,,949,871
417a2cf1,1041,946,874
61e54d9b,1043,948,874
ce74044c,1048,937,875
d820b67f,1044,944,875
5e13aaf2,1047,943,
e39a250c,1050,943,
8b52797d,1052,947,871
93d51aef,1043,1222,872
c5b3a3c8,1052,946,
f9c10462,1051,948,
0e960577,1053,946,873
065def80,1059,948,877
995c51d1,1059,948,877
1f0ab432,1049,957,880
8f8fddc8,1051,953,877
24d8dfd4,1043,953,876
5750b9e3,1046,955,880
a9999828,,956,875
9193010a,1048,955,878
43f2c3bd,1040,958,876
f22b2e11,1040,958,876
aebf9781,1047,941,873
4cbe50f4,1045,948,875
269e181a,1045,948,875
68fd7faa,1042,951,875
1c5a9f12,1042,847,875
aba31a4e,1042,833,875
b81282e5,1042,833,875
5a297a6e,1046,838,876
ff162f36,1043,834,877
9e4778cd,1045,836,875
4a566203,1042,837,875
4f0111b2,1049,838,872
c0d4de3c,1049,840,876
7cc588ae,1046,850,879
9b9a6304,1042,851,876
4e75e7b4,1054,816,882
69d03840,1063,807,874
0d1af3e3,1062,847,874
6ece76a2,1062,806,872
c5f801e4,1059,838,872
f7d8b0cd,1063,807,874
a8c1628d,1062,839,880
