Hash,orion,hera,gaeac6
688de8eb,,1349,1044
7e711129,1218,1343,1050
d4bac232,1218,1343,1050
118cff46,1217,1342,1040
071b9f95,1215,1351,1044
dc9cfba6,1210,1340,1049
a180bbe4,,1343,1048
417a2cf1,1216,1349,1048
61e54d9b,1223,1348,1040
ce74044c,1212,1346,1048
d820b67f,1216,1348,1049
5e13aaf2,1219,1320,
e39a250c,1219,1347,
8b52797d,1217,1346,1047
93d51aef,1219,1359,1044
c5b3a3c8,1222,1346,
f9c10462,1222,1350,
0e960577,1227,1351,1042
065def80,1223,1350,1044
995c51d1,1223,1350,1044
1f0ab432,1213,1240,1042
8f8fddc8,1223,1239,1048
24d8dfd4,1211,1234,1047
5750b9e3,1220,1230,1046
a9999828,,1232,1048
9193010a,1219,1230,1048
43f2c3bd,1218,1232,1044
f22b2e11,1218,1232,1044
aebf9781,1225,1200,1043
4cbe50f4,1215,1198,1046
269e181a,1215,1198,1046
68fd7faa,1216,1241,1045
1c5a9f12,1216,1229,1045
aba31a4e,1216,1205,1043
b81282e5,1216,1205,1043
5a297a6e,1219,1202,1042
ff162f36,1216,1203,1043
9e4778cd,1219,1197,1041
4a566203,1215,1221,1049
4f0111b2,1218,1202,1047
c0d4de3c,1222,1198,1041
7cc588ae,1211,1244,1047
9b9a6304,1214,1243,1046
4e75e7b4,1218,1234,1050
69d03840,1223,1209,1050
0d1af3e3,1218,1235,1050
6ece76a2,1218,1237,1047
c5f801e4,1225,1235,1051
f7d8b0cd,1224,1234,1053
a8c1628d,1222,1242,1048
