Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1040,1080,1002,1090,,1569,1000,989
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1032,1090,996,1094072,,1569,1004,991
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1038608,1099,1013,1083248,,1568,1000,989
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1036,1085,994,1100312,,1568,1002,991
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1036,1085,994,1100312,,1568,1002,991
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1039,1101,998,1089,,1571092,993,997
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1031,1079,1006,1088252,,1575,1009,992
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1031,1080,998,1098888,,1566,991,991
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1031196,1087,1003,1103716,,1564,994,996
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1031,1091,996,1090604,,1565,991,992
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1020,1078,1000,1088924,,1566,990,993
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1037,1093,1003,1094100,,1563,990,993
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1055,1082,1007,1094788,,1552,990,995
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1030,1079,1001196,1098136,,1555,1000,993
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1035,1094,999068,1090660,,1550,992,1007
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1041,1080,999,1092140,,1548,993,995
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1029,1089,1007,1093260,,1555,993,997
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1030,1085,1001224,1092788,,1557,996,994
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1031,1079,995284,1093696,,1558,1009,994
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1030,1080,1006,1092,,1557,992,1007
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1043,1076,1002,1091892,,1556,977,995
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1043,1076,1002,1091,,,977,995
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1031,1091,1004,1090548,,,985,1002
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1028,1066,1003,1104,,,993,993
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1023,1069,1001,1082500,,,998,991
5750b9e3,2025-06-20,gcycle update (#2747),1013,1065,1001,1086256,,,981,993
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1024052,1082,1015,1098744,,,994,993
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1017,1070,1001,1096,,,1001,990
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),1018,1073,1011,1103572,,,989,1007
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),1018,1073,1011,1103572,,,989,1007
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1024,1057,1018,1066496,,,987,991
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1012,1052,998,1084924,,,983,996
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1012,1052,998,1084924,,,983,996
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",1024,1073,1012,1084460,,,1005,1004
