Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1074,1211,870,1185,872,1713,873,880
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1060,1217,874,1185228,872,1713,879,876
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1075152,1216,869,1186456,872,1715,873,881
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1077,1212,871,1185948,872,1715,872,882
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1077,1212,871,1185948,872,1715,872,882
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1067,1214,859,1177,866,1715560,876,880
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1077,1214,869,1183640,871,1708,875,879
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1075,1213,873,1196532,872,1713,875,880
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1076780,1215,868,1186376,871752,1713,875,879
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1075,1202,868,1191528,871236,1711,877,880
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1083,1212,868,1185656,871584,1709,876,878
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1082,1211,869,1183520,871612,1709,874,878
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1073,1213,868,1195396,869884,1718,875,882
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1077,1215,870092,1185608,870,1708,875,881
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1083,1204,871312,1187428,870,1717,875,881
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1078,1215,873,1187388,870,1714,875,880
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1084,1215,869,1166520,870,1716,875,881
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1078,1206,867536,1196072,871,1719,874,879
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1079,1212,866312,1185540,869,1714,875,879
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1079,1209,867,1188,871,1709,874,881
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1078,1213,867,1191876,872,1719,875,880
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1078,1213,867,1184,872,,875,880
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1065,1103,874,1189096,883,,874,880
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1083,1111,875,1185,882,,874,880
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1058,1111,870,1183568,882,,873,878
5750b9e3,2025-06-20,gcycle update (#2747),1074,1116,865,1163336,882,,872,879
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1078404,1115,879,1190476,882,,872,879
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1069,1109,866,1185,879,,871,879
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),1068,1122,866,1179660,879,,872,879
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),1068,1122,866,1179660,879,,872,879
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1074,1102,859,1189928,880,,872,879
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1073,1082,866,1182144,872,,872,878
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1073,1082,866,1182144,872,,872,878
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",1061,1106,868,1183252,878,,873,877
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",1061,1112,868,1181800,878,,873,877
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),1068,1098,872,1189368,877,,872,877
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),1068,1098,872,1188308,877,,872,877
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),1074,1095,872,1189156,879,,873,879
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),1069,1102,863,1186080,882,,873,878
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),1068,1104,871,1191276,881,,874,878
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),1070,1119,874,1186212,878,,874,877
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),1070,1097,872,1175524,885,,871,878
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),1073,1103,869,1180572,881,,872,877
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),1070,1112,867,1182448,877,,872,876
9b9a6304,2025-04-11,Memcheck fixes (#2655),1057,1112,866,1174848,883,,871,879
4e75e7b4,2025-04-10,Update upp submodule to the latest UPP (#2682),1107,1157,900,1223404,916,,909,914
69d03840,2025-04-07,Use ESMF Redist instead of Remap for FV3 history bundles with 'cubed_sphere_grid' output grid (#2595),1106,1139,909,1218132,912,,909,914
0d1af3e3,2025-04-02,"Convert GFS DDTs from blocked data structures to contiguous arrays: Part Deux  + CCPP updates in fv3atm/ccpp-physics: split physics in two groups, reset GFS_interstitial DDT in CCPP_driver.F90 #2651 + Hera move spack-stack to /contrib #2579 (#2610)",1106,1149,909,1213024,915,,908,913
6ece76a2,2025-03-28,Update WW3  by merging develop  as of 2025-03-20 (#2669),1113,1142,909,1230912,920,,914,919
c5f801e4,2025-03-27,Sync CDEPS and CMEPS to ESCOMP (#2664),1114,1154,911,1227396,915,,914,920
