Hash,orion,hera,gaeac6
688de8eb,,1503,1171
7e711129,1364,1513,1171
d4bac232,1364,1513,1171
118cff46,1371,1504,1171
071b9f95,1361,1505,1167
dc9cfba6,1363,1506,1165
a180bbe4,,1512,1172
417a2cf1,1371,1501,1168
61e54d9b,1360,1504,1172
ce74044c,1363,1508,1166
d820b67f,1367,1525,1170
5e13aaf2,1362,1504,
e39a250c,1364,1505,
8b52797d,1363,1509,1169
93d51aef,1364,1508,1169
c5b3a3c8,1363,1510,
f9c10462,1365,1503,
0e960577,1368,1513,1166
065def80,1364,1507,1169
995c51d1,1364,1507,1169
1f0ab432,1377,1421,1178
8f8fddc8,1381,1423,1174
24d8dfd4,1375,1415,1171
5750b9e3,1378,1411,1169
a9999828,,1416,1170
9193010a,1375,1417,1174
43f2c3bd,1376,1416,1174
f22b2e11,1376,1416,1174
aebf9781,1375,1403,1169
4cbe50f4,1377,1402,1178
269e181a,1377,1402,1178
68fd7faa,1377,1420,1173
1c5a9f12,1377,1413,1173
aba31a4e,1384,1406,1168
b81282e5,1384,1406,1168
5a297a6e,1380,1401,1175
ff162f36,1378,1400,1173
9e4778cd,1373,1400,1178
4a566203,1377,1404,1172
4f0111b2,1381,1395,1173
c0d4de3c,1378,1394,1173
7cc588ae,1377,1413,1174
9b9a6304,1378,1412,1172
4e75e7b4,1405,1443,1204
69d03840,1407,1432,1203
0d1af3e3,1415,1463,1203
6ece76a2,1416,1449,1216
c5f801e4,1422,1446,1209
f7d8b0cd,1413,1445,1208
a8c1628d,1417,1444,1212
