Hash,orion,hera,gaeac6
688de8eb,,1326,1223
7e711129,1364,1321,1222
d4bac232,1364,1321,1222
118cff46,1356,1320,1218
071b9f95,1355,1329,1223
dc9cfba6,1352,1325,1231
a180bbe4,,1324,1222
417a2cf1,1364,1321,1219
61e54d9b,1359,1321,1219
ce74044c,1354,1328,1218
d820b67f,1355,1322,1231
5e13aaf2,1356,1329,
e39a250c,1367,1325,
8b52797d,1355,1328,1219
93d51aef,1356,1325,1221
c5b3a3c8,1365,1321,
f9c10462,1354,1335,
0e960577,1365,1317,1219
065def80,1362,1321,1221
995c51d1,1362,1321,1221
1f0ab432,1345,1318,1221
8f8fddc8,1354,1325,1221
24d8dfd4,1339,1313,1215
5750b9e3,1342,1314,1217
a9999828,,1317,1214
9193010a,1355,1311,1216
43f2c3bd,1342,1311,1216
f22b2e11,1342,1311,1216
aebf9781,1338,1299,1212
4cbe50f4,1350,1297,1214
269e181a,1350,1297,1214
68fd7faa,1343,1323,1217
1c5a9f12,1343,1311,1217
aba31a4e,1351,1301,1217
b81282e5,1351,1301,1217
5a297a6e,1346,1290,1214
ff162f36,1349,1307,1212
9e4778cd,1343,1304,1214
4a566203,1347,1305,1214
4f0111b2,1363,1296,1214
c0d4de3c,1349,1308,1214
7cc588ae,1345,1323,1214
9b9a6304,1349,1318,1216
4e75e7b4,1369,1335,1216
69d03840,1372,1323,1214
0d1af3e3,1359,1328,1214
6ece76a2,1352,1321,1206
c5f801e4,1369,1331,1203
f7d8b0cd,1357,1342,1202
a8c1628d,1354,1327,1206
