Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d1f50458,2025-09-23,Automatically add new PRs to WM PR Project board (#2897),1907,2036,1598,2100,,2636,1600,1609
ac8ffeb8,2025-09-23,Update default_vars for stochastic physics settings for global-worfklow. Minor document updates to reflect new HSD container (was #2885). PR template update (was #2891) (#2889),1907,2036,1598,2100,,2636,1600,1609
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),1909,2046,1598,2078,,2629,1602,1608
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),1905,2043,1596,2100,,2651,1606,1607
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),1902,2042,1598,2090,,2640,1603,1612
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),1904,2043,1598,2100,,2646,1602,1613
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1903,2045,1597,2094,,2645,1607,1609
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1900,2031,1596,2095928,,2653,1604,1609
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1903288,2044,1598,2084248,1603,2640,1603,1608
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1905,2037,1598,2074992,1603,2652,1607,1608
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1905,2037,1598,2074992,1603,2652,1607,1608
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1903,2039,1596,2105,1604,2620672,1604,1612
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1907,2048,1596,2095020,1603,2647,1604,1608
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1907,2045,1595,2104848,1605,2639,1609,1611
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1905480,2044,1596,2098920,1603892,2642,1613,1609
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1902,2046,1594,2095592,1605412,2634,1603,1610
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1904,2048,1597,2094316,1604240,2643,1604,1608
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1902,2041,1596,2098052,1605136,2639,1605,1610
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1905,2042,1596,2084112,1608492,2635,1603,1614
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1907,2042,1596964,2105176,,2655,1609,1614
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1903,2045,1598796,2098340,1596,2632,1608,1612
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1904,2040,1597,2081256,1596,2678,1608,1612
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1902,2051,1598,2087256,1599,2652,1609,1610
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1905,2040,1597804,2080572,1599,2644,1610,1611
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1904,2046,1596544,2092792,1600,2638,1606,1612
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1906,2052,1596,2084,1597,2664,1606,1611
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1908,2034,1596,2102184,1604,2634,1602,1612
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1908,2034,1596,2104,1604,,1602,1612
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1901,1930,1602,2094908,1613,,1603,1611
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1903,1909,1606,2078,1615,,1604,1612
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1903,1934,1600,2086504,1617,,1606,1610
5750b9e3,2025-06-20,gcycle update (#2747),1907,1941,1598,2098940,1615,,1606,1613
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1903568,1945,1599,2092696,1614,,1606,1611
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1904,1927,1599,2091,,,1607,1610
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),1899,1940,1600,2095548,1614,,1601,1611
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),1899,1940,1600,2095548,1614,,1601,1611
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1901,1924,1600,2089920,1612,,1602,1611
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1905,1922,1601,2086292,1613,,1608,1608
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1905,1922,1601,2086292,1613,,1608,1608
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",1906,1933,1600,2076984,1613,,1607,1610
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",1906,1928,1600,2091140,1613,,1607,1610
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),1906,1912,1599,2082128,1612,,1602,1610
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),1906,1912,1599,2075528,1612,,1602,1610
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),1906,1918,1598,2084460,1613,,1606,1610
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),1900,1923,1599,2080784,1615,,1600,1607
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),1900,1920,1599,2099224,1615,,1600,1610
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),1898,1921,1604,2095220,1614,,1606,1609
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),1902,1923,1598,2091112,1615,,1604,1609
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),1903,1924,1599,2085068,1615,,1599,1609
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),1898,1923,1599,2089960,1615,,1599,1611
