Hash,orion,hera,gaeac6
688de8eb,,1884,1584
7e711129,1773,1882,1596
d4bac232,1773,1882,1596
118cff46,1763,1882,1594
071b9f95,1761,1893,1594
dc9cfba6,1764,1870,1580
a180bbe4,,1890,1590
417a2cf1,1771,1884,1593
61e54d9b,1765,1886,1595
ce74044c,1764,1882,1577
d820b67f,1772,1892,1582
5e13aaf2,1765,1887,
e39a250c,1771,1848,
8b52797d,1765,1876,1574
93d51aef,1762,1877,1581
c5b3a3c8,1772,1873,
f9c10462,1760,1858,
0e960577,1761,1888,1585
065def80,1767,1888,1584
995c51d1,1767,1888,1584
1f0ab432,1761,3098,1599
8f8fddc8,1772,3101,1610
24d8dfd4,1755,3104,1597
5750b9e3,1770,3096,1596
a9999828,,3098,1601
9193010a,1761,3103,1594
43f2c3bd,1759,3079,1598
f22b2e11,1759,3079,1598
aebf9781,1774,3075,1594
4cbe50f4,1775,3074,1594
269e181a,1775,3074,1594
68fd7faa,1773,3097,1594
1c5a9f12,1773,3092,1594
aba31a4e,1774,3085,1600
b81282e5,1774,3085,1600
5a297a6e,1756,3077,1594
ff162f36,1760,3077,1598
9e4778cd,1755,3081,1593
4a566203,1773,3074,1605
4f0111b2,1769,3077,1604
c0d4de3c,1757,3088,1604
7cc588ae,1758,3108,1596
9b9a6304,1773,3105,1599
4e75e7b4,1762,3111,1598
69d03840,1760,3080,1605
0d1af3e3,1760,3106,1605
6ece76a2,1764,3096,1604
c5f801e4,1776,3099,1597
f7d8b0cd,1778,3100,1596
a8c1628d,1774,3082,1609
