Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1784,1898,1597,1806,1734,2428,3219,3128
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1787,1892,1605,1810176,1734,2418,3218,3130
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1784724,1888,1595,1823864,1734,2416,3202,3129
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1781,1886,1605,1811592,1734,2423,3214,3130
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1781,1886,1605,1811592,1734,2423,3214,3130
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1779,1901,1603,1827,1739,2413468,3207,3130
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1784,1886,1593,1822280,1739,2416,3218,3131
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1784,1890,1604,1807740,1743,2419,3218,3125
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1758452,1891,1597,1824268,1747904,2419,3218,3127
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1786,1898,1604,1813868,1737380,2419,3219,3131
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1793,1886,1597,1811872,1740544,2433,3218,3130
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1795,1887,1597,1807376,1741172,2417,3216,3131
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1783,1907,1607,1809300,1745156,2423,3218,3124
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1789,1884,1602580,1823184,1730,2424,3081,2994
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1786,1894,1601212,1822180,1730,2433,3081,2989
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1793,1900,1595,1822200,1744,2430,3081,2994
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1777,1895,1595,1810984,1731,2429,3080,2992
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1786,1905,1592236,1814268,1731,2420,3081,2992
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1791,1899,1595688,1808180,1742,2423,3080,2986
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1785,1910,1595,1807,1738,2416,3059,2991
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1779,1904,1595,1816896,1734,2426,3082,2992
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1779,1904,1595,1806,1734,,3082,2992
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1777,3113,1609,1810288,3011,,3016,3008
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1777,3118,1617,1807,3022,,3005,3012
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1785,3127,1612,1818272,3010,,3006,3013
5750b9e3,2025-06-20,gcycle update (#2747),1778,3117,1619,1816848,3011,,3000,3013
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1784620,3114,1611,1827048,3018,,3005,3011
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1781,3100,1611,1813800,3009,,3013,3012
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),1778,3122,1619,1813164,3009,,3012,3013
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),1778,3122,1619,1813164,3009,,3012,3013
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1774,3097,1611,1812688,3013,,3014,3013
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1777,3088,1611,1814804,3018,,3015,3012
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1777,3088,1611,1814804,3018,,3015,3012
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",1775,3104,1619,1818004,3009,,3002,3012
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",1775,3094,1619,1813388,3009,,3002,3012
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),1782,3094,1613,1817780,3013,,3015,3014
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),1782,3094,1613,1819544,3013,,3015,3014
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),1779,3101,1613,1815956,3019,,3004,3014
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),1779,3099,1611,1808992,3011,,3015,3011
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),1780,3096,1610,1819268,3010,,3013,3012
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),1785,3090,1611,1817936,3014,,3015,3012
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),1784,3093,1620,1820528,3011,,3016,3011
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),1787,3087,1622,1810712,3016,,3013,3010
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),1775,3125,1614,1818528,3013,,3016,3011
9b9a6304,2025-04-11,Memcheck fixes (#2655),1775,3125,1615,1815212,3015,,3014,3009
4e75e7b4,2025-04-10,Update upp submodule to the latest UPP (#2682),1789,3125,1621,1825072,3015,,3014,3010
69d03840,2025-04-07,Use ESMF Redist instead of Remap for FV3 history bundles with 'cubed_sphere_grid' output grid (#2595),1777,3090,1615,1817024,3015,,3015,3011
0d1af3e3,2025-04-02,"Convert GFS DDTs from blocked data structures to contiguous arrays: Part Deux  + CCPP updates in fv3atm/ccpp-physics: split physics in two groups, reset GFS_interstitial DDT in CCPP_driver.F90 #2651 + Hera move spack-stack to /contrib #2579 (#2610)",1788,3123,1615,1815072,3011,,3014,3008
6ece76a2,2025-03-28,Update WW3  by merging develop  as of 2025-03-20 (#2669),1778,3103,1616,1821672,3016,,3013,3011
c5f801e4,2025-03-27,Sync CDEPS and CMEPS to ESCOMP (#2664),1779,3112,1621,1824380,3018,,3014,3013
