Hash,orion,hera,gaeac6
688de8eb,,1100,1032
7e711129,1085,1103,1030
d4bac232,1085,1103,1030
118cff46,1083,1100,1027
071b9f95,1083,1102,1028
dc9cfba6,1078,1098,1028
a180bbe4,,1099,1028
417a2cf1,1083,1105,1029
61e54d9b,1082,1100,1028
ce74044c,1066,1106,1027
d820b67f,1081,1090,1027
5e13aaf2,1079,1101,
e39a250c,1081,1098,
8b52797d,1084,1109,1024
93d51aef,1088,1095,1029
c5b3a3c8,1082,1105,
f9c10462,1087,1108,
0e960577,1081,1101,1026
065def80,1080,1099,1024
995c51d1,1080,1099,1024
1f0ab432,1078,1099,1044
8f8fddc8,1069,1107,1041
24d8dfd4,1076,1103,1038
5750b9e3,1078,1101,1042
a9999828,,1092,1036
9193010a,1071,1096,1024
43f2c3bd,1072,1093,1035
f22b2e11,1072,1093,1035
aebf9781,1075,1082,1037
4cbe50f4,1065,1079,1042
269e181a,1065,1079,1042
68fd7faa,1081,1107,1037
1c5a9f12,1081,1107,1037
aba31a4e,1073,1088,1035
b81282e5,1073,1088,1035
5a297a6e,1071,1089,1039
ff162f36,1073,1081,1038
9e4778cd,1068,1086,1021
4a566203,1077,1086,1037
4f0111b2,1074,1090,1039
c0d4de3c,1068,1087,1039
7cc588ae,1077,1111,1038
9b9a6304,1072,1106,1039
4e75e7b4,1081,1099,1039
69d03840,1081,1083,1027
0d1af3e3,1071,1109,1027
6ece76a2,1081,1070,1039
c5f801e4,1083,1101,1044
f7d8b0cd,1081,1110,1042
a8c1628d,1084,1099,1040
