Hash,orion,hera,gaeac6
688de8eb,,916,862
7e711129,951,911,864
d4bac232,951,911,864
118cff46,936,923,864
071b9f95,953,920,863
dc9cfba6,956,922,868
a180bbe4,,917,865
417a2cf1,951,920,863
61e54d9b,953,917,865
ce74044c,956,922,862
d820b67f,951,926,863
5e13aaf2,951,929,
e39a250c,955,915,
8b52797d,950,917,875
93d51aef,947,930,861
c5b3a3c8,953,926,
f9c10462,955,925,
0e960577,953,919,866
065def80,957,924,863
995c51d1,957,924,863
1f0ab432,963,969,879
8f8fddc8,964,958,883
24d8dfd4,955,959,876
5750b9e3,950,950,880
a9999828,,956,878
9193010a,953,950,877
43f2c3bd,952,959,877
f22b2e11,952,959,877
aebf9781,952,939,879
4cbe50f4,952,938,877
269e181a,952,938,877
68fd7faa,953,957,880
1c5a9f12,953,945,880
aba31a4e,950,948,876
b81282e5,950,948,876
5a297a6e,957,936,879
ff162f36,952,932,879
9e4778cd,951,926,875
4a566203,950,942,876
4f0111b2,951,958,878
c0d4de3c,958,929,876
7cc588ae,959,949,878
9b9a6304,951,959,881
4e75e7b4,978,954,879
69d03840,953,935,878
0d1af3e3,959,954,878
6ece76a2,959,956,889
c5f801e4,961,957,891
f7d8b0cd,961,959,885
a8c1628d,958,957,888
