Hash,orion,hera,gaeac6
688de8eb,,493,465
7e711129,490,497,466
d4bac232,490,497,466
118cff46,491,493,466
071b9f95,500,505,469
dc9cfba6,496,505,470
a180bbe4,,504,467
417a2cf1,496,503,472
61e54d9b,498,501,465
ce74044c,499,501,473
d820b67f,501,499,469
5e13aaf2,496,508,
e39a250c,494,503,
8b52797d,506,502,466
93d51aef,500,501,467
c5b3a3c8,498,501,
f9c10462,496,505,
0e960577,499,496,468
065def80,499,502,468
995c51d1,499,502,468
1f0ab432,502,502,486
8f8fddc8,503,502,472
24d8dfd4,492,498,464
5750b9e3,501,492,477
a9999828,,495,469
9193010a,501,498,476
43f2c3bd,501,497,480
f22b2e11,501,497,480
aebf9781,505,489,473
4cbe50f4,517,487,477
269e181a,517,487,477
68fd7faa,502,495,464
1c5a9f12,502,495,464
aba31a4e,503,484,481
b81282e5,503,484,481
5a297a6e,501,484,479
ff162f36,500,480,476
9e4778cd,500,486,472
4a566203,498,486,476
4f0111b2,502,483,478
c0d4de3c,502,484,482
7cc588ae,496,501,479
9b9a6304,507,497,477
4e75e7b4,503,499,466
69d03840,502,489,480
0d1af3e3,507,502,480
6ece76a2,504,491,484
c5f801e4,503,493,486
f7d8b0cd,501,494,487
a8c1628d,505,496,482
