Hash,orion,hera,gaeac6
688de8eb,,1113,1064
7e711129,1088,1114,1057
d4bac232,1088,1114,1057
118cff46,1089,1124,1058
071b9f95,1083,1108,1054
dc9cfba6,1083,1109,1060
a180bbe4,,1100,1055
417a2cf1,1079,1100,1058
61e54d9b,1091,1117,1054
ce74044c,1089,1118,1052
d820b67f,1103,1124,1049
5e13aaf2,1107,1117,
e39a250c,1101,1115,
8b52797d,1102,1118,1054
93d51aef,1096,1114,1062
c5b3a3c8,1108,1118,
f9c10462,,,
0e960577,,,
065def80,,,
995c51d1,,,
1f0ab432,,,
8f8fddc8,,,
24d8dfd4,,,
5750b9e3,,,
a9999828,,,
9193010a,,,
43f2c3bd,,,
f22b2e11,,,
aebf9781,,,
4cbe50f4,,,
269e181a,,,
68fd7faa,,,
1c5a9f12,,,
aba31a4e,,,
b81282e5,,,
5a297a6e,,,
ff162f36,,,
9e4778cd,,,
4a566203,,,
4f0111b2,,,
c0d4de3c,,,
7cc588ae,,,
9b9a6304,,,
4e75e7b4,,,
69d03840,,,
0d1af3e3,,,
6ece76a2,,,
c5f801e4,,,
f7d8b0cd,,,
a8c1628d,,,
