Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),318,313,440,554,435,626,,437
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),318,308,441,560992,435,621,,438
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),318220,310,440,557116,435,619,,436
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),315,307,441,557884,435,619,,438
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),315,307,441,557884,435,619,,438
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),318,309,441,565,436,619528,,437
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),314,308,441,558428,435,621,,436
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),318,312,441,558272,436,620,,436
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),318924,310,441,557864,436444,621,,438
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),316,308,440,557484,436412,619,,438
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),317,307,441,556328,436232,619,,437
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",320,312,442,556676,437928,622,,437
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),314,308,441,557940,437956,622,,438
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),317,308,441396,557168,437,619,,437
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),314,309,442044,554636,437,623,,437
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",316,308,441,555984,436,625,,438
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),317,309,441,557180,436,622,,437
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),318,311,441544,555532,437,622,,437
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),317,307,441320,559036,437,622,,437
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",316,308,441,554,438,621,,438
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),314,308,441,565408,436,624,,437
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),314,308,441,555,436,,,437
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),327,333,461,577488,450,,,448
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),327,333,461,573,451,,,448
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),326,334,462,563460,450,,,448
5750b9e3,2025-06-20,gcycle update (#2747),328,332,462,563808,451,,,450
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),323168,330,461,565708,450,,,449
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",321,337,460,561944,455,,,449
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),327,336,462,562904,455,,,450
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),327,336,462,562904,455,,,450
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),324,327,461,568396,453,,,450
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",325,323,463,559424,603,,,450
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),325,323,463,559424,603,,,450
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",328,336,461,575028,452,,,448
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",328,329,461,562356,452,,,448
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),324,329,462,561124,451,,,447
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),324,329,462,572520,451,,,447
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),330,327,464,577408,452,,,449
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),328,327,461,574356,454,,,449
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),325,325,464,564408,451,,,449
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),329,325,462,577868,452,,,447
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),330,326,461,561668,451,,,447
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),325,326,461,562804,451,,,446
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),327,332,461,567996,450,,,447
9b9a6304,2025-04-11,Memcheck fixes (#2655),325,339,462,576984,453,,,448
4e75e7b4,2025-04-10,Update upp submodule to the latest UPP (#2682),325,335,460,580088,453,,,449
69d03840,2025-04-07,Use ESMF Redist instead of Remap for FV3 history bundles with 'cubed_sphere_grid' output grid (#2595),327,326,460,574556,451,,,448
