Hash,orion,hera,gaeac6
688de8eb,,1263,676
7e711129,1121,1261,678
d4bac232,1121,1261,678
118cff46,1134,1265,678
071b9f95,1135,1263,678
dc9cfba6,1131,1267,679
a180bbe4,,1265,677
417a2cf1,1121,1270,676
61e54d9b,1128,1266,676
ce74044c,1131,1268,676
d820b67f,1125,1262,678
5e13aaf2,1124,1265,
e39a250c,1028,1167,
8b52797d,1027,1162,640
93d51aef,1028,1167,641
c5b3a3c8,1031,1158,
f9c10462,1027,1163,
0e960577,1026,1160,642
065def80,1029,1167,641
995c51d1,1029,1167,641
1f0ab432,1008,1025,640
8f8fddc8,1020,1030,641
24d8dfd4,1027,1030,640
5750b9e3,1020,1053,643
a9999828,,1045,653
9193010a,1022,1041,645
43f2c3bd,1018,1046,640
f22b2e11,1018,1046,640
aebf9781,1024,1029,648
4cbe50f4,1032,1033,643
269e181a,1032,1033,643
68fd7faa,1026,1035,639
1c5a9f12,1026,1042,639
aba31a4e,1020,1036,639
b81282e5,1020,1036,639
5a297a6e,1021,1035,649
ff162f36,1019,1035,641
9e4778cd,1025,1037,640
4a566203,1010,1022,643
4f0111b2,1016,1024,652
c0d4de3c,1020,1032,645
7cc588ae,1018,1026,643
9b9a6304,1021,1040,641
4e75e7b4,1019,1031,642
69d03840,1028,1034,642
0d1af3e3,1024,1038,642
6ece76a2,1023,1029,641
c5f801e4,1024,1027,641
f7d8b0cd,1022,1028,641
a8c1628d,1017,1040,642
