Hash,orion,hera,gaeac6
688de8eb,,2016,1561
7e711129,1868,2005,1559
d4bac232,1868,2005,1559
118cff46,1867,2013,1561
071b9f95,1863,2014,1560
dc9cfba6,1870,2008,1559
a180bbe4,,2013,1560
417a2cf1,1871,2006,1560
61e54d9b,1870,2002,1561
ce74044c,1869,2010,1561
d820b67f,1876,2010,1561
5e13aaf2,1874,2009,
e39a250c,1163,1300,
8b52797d,1162,1290,759
93d51aef,1144,1298,759
c5b3a3c8,1163,1290,
f9c10462,1160,1275,
0e960577,1150,1261,760
065def80,1160,1283,761
995c51d1,1160,1283,761
1f0ab432,1153,1160,762
8f8fddc8,1158,1165,761
24d8dfd4,1145,1157,751
5750b9e3,1125,1166,764
a9999828,,1174,766
9193010a,1162,1170,765
43f2c3bd,1156,1153,752
f22b2e11,1156,1153,752
aebf9781,1160,1156,751
4cbe50f4,1128,1151,763
269e181a,1128,1151,763
68fd7faa,1158,1169,765
1c5a9f12,1158,1166,765
aba31a4e,1139,1160,764
b81282e5,1139,1160,764
5a297a6e,1135,1158,752
ff162f36,1158,1174,765
9e4778cd,1162,1143,765
4a566203,1151,1141,765
4f0111b2,1153,1149,765
c0d4de3c,1156,1151,765
7cc588ae,1157,1162,763
9b9a6304,1146,1151,764
4e75e7b4,1150,1165,763
69d03840,1152,1145,764
0d1af3e3,1140,1165,764
6ece76a2,1140,1156,763
c5f801e4,1150,1157,752
f7d8b0cd,1158,1158,752
a8c1628d,1142,1154,763
