Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1778372,1917,1559,1779304,1562,1850,,
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1779,1914,1561,1778048,1562,1844,,
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1779,1914,1561,1778048,1562,1844,,
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1777,1916,1559,1774,1562,1845760,,
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1779,1912,1560,1776884,1562,1850,,
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1778,1905,1561,1775980,1561,1840,,
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1781676,1912,1559,1767392,1564220,1844,,
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1776,1909,1561,1774180,1561624,1842,,
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1774,1915,1562,1775640,1563880,1846,,
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1777,1915,1559,1783920,1561188,1853,,
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1778,1910,1564,1781888,1564496,1847,,
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1772,1911,1558536,1777896,748,1848,,
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1083,1218,744764,1066584,748,1153,,
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1082,1218,748,1060764,750,1133,,
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1077,1211,745,1069820,751,1144,,
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1088,1212,745132,1069520,748,1139,,
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1085,1209,747552,1083164,750,1145,,
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1073,1215,746,1061,746,1149,,
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1060,1208,744,1067964,747,1139,,
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1060,1208,744,1067,747,,,
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1077,1079,746,1072416,740,,,
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1080,1090,733,1067,739,,,
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1076,1086,748,1083728,754,,,
5750b9e3,2025-06-20,gcycle update (#2747),1066,1090,748,1070968,751,,,
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1085480,1095,747,1076012,753,,,
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1076,1087,746,1083292,752,,,
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),1084,1080,748,1085168,752,,,
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),1084,1080,748,1085168,752,,,
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1082,1083,733,1089816,754,,,
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1074,1083,748,1077676,751,,,
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1074,1083,748,1077676,751,,,
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",1083,1086,748,1077360,754,,,
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",1083,1091,748,1071320,754,,,
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),1085,1077,747,1082340,739,,,
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),1085,1077,747,1087788,739,,,
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),1084,1082,748,1071504,739,,,
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),1074,1086,746,1076036,752,,,
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),1080,1091,748,1069220,753,,,
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),1077,1082,747,1072092,753,,,
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),1081,1080,748,1077552,752,,,
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),1067,1069,748,1079812,753,,,
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),1082,1088,746,1078900,753,,,
9b9a6304,2025-04-11,Memcheck fixes (#2655),1081,1104,747,1086268,738,,,
4e75e7b4,2025-04-10,Update upp submodule to the latest UPP (#2682),1069,1082,746,1074888,740,,,
69d03840,2025-04-07,Use ESMF Redist instead of Remap for FV3 history bundles with 'cubed_sphere_grid' output grid (#2595),1076,1079,747,1080712,754,,,
0d1af3e3,2025-04-02,"Convert GFS DDTs from blocked data structures to contiguous arrays: Part Deux  + CCPP updates in fv3atm/ccpp-physics: split physics in two groups, reset GFS_interstitial DDT in CCPP_driver.F90 #2651 + Hera move spack-stack to /contrib #2579 (#2610)",1071,1097,747,1086408,753,,,
6ece76a2,2025-03-28,Update WW3  by merging develop  as of 2025-03-20 (#2669),1076,1087,747,1083768,740,,,
c5f801e4,2025-03-27,Sync CDEPS and CMEPS to ESCOMP (#2664),1068,1079,748,1080480,752,,,
f7d8b0cd,2025-03-26,"Add support for FV3 native grid (cubed sphere) to history and restart write netcdf routines + Add new cmake variable UFS_COMPILER_SUITE to support mixed Intel compilers (icx, icpx, ifort) #2504 (#2591)",1079,1085,747,1089712,752,,,
a8c1628d,2025-03-24,Introduce prognostic updraft velocity to saSAS and C3 convection schemes (#2567),1083,1086,746,1086508,753,,,
