Hash,orion,hera,gaeac6
688de8eb,,1780,1368
7e711129,1663,1779,1369
d4bac232,1663,1779,1369
118cff46,1664,1781,1368
071b9f95,1661,1783,1368
dc9cfba6,1662,1781,1368
a180bbe4,,1781,1371
417a2cf1,1665,1780,1371
61e54d9b,1660,1783,1372
ce74044c,1656,1780,1371
d820b67f,1658,1779,1369
5e13aaf2,1660,1779,
e39a250c,1024,1136,
8b52797d,1015,1142,692
93d51aef,1023,1139,692
c5b3a3c8,1026,1137,
f9c10462,1029,1136,
0e960577,1014,1139,694
065def80,1027,1147,691
995c51d1,1027,1147,691
1f0ab432,1022,1081,707
8f8fddc8,1015,1074,706
24d8dfd4,1021,1072,709
5750b9e3,1030,1085,704
a9999828,,1079,707
9193010a,1027,1081,706
43f2c3bd,1033,1078,707
f22b2e11,1033,1078,707
aebf9781,1027,1068,700
4cbe50f4,1023,1072,703
269e181a,1023,1072,703
68fd7faa,1020,1089,703
1c5a9f12,1020,1076,703
aba31a4e,1030,1063,708
b81282e5,1030,1063,708
5a297a6e,1027,1074,701
ff162f36,1020,1071,706
9e4778cd,1028,1073,717
4a566203,1027,1076,706
4f0111b2,1030,1085,705
c0d4de3c,1027,1075,706
7cc588ae,1024,1077,705
9b9a6304,1018,1082,705
4e75e7b4,1027,1070,704
69d03840,1023,1068,705
0d1af3e3,1040,1078,705
6ece76a2,1031,1065,704
c5f801e4,1031,1080,703
f7d8b0cd,1017,1080,706
a8c1628d,1029,1067,703
