Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d1f50458,2025-09-23,Automatically add new PRs to WM PR Project board (#2897),1812,1960,1558,1818,,1883,,1568
ac8ffeb8,2025-09-23,Update default_vars for stochastic physics settings for global-worfklow. Minor document updates to reflect new HSD container (was #2885). PR template update (was #2891) (#2889),1812,1960,1558,1818,,1883,,1568
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),1803,1954,1558,1800,,1890,,1565
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),1808,1954,1558,1818,,1881,,1567
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),1818,1951,1561,1811,,1885,,1565
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),1814,1955,1558,1811,,1887,,1567
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1814,1959,1559,1810,,1882,,1567
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1816,1948,1559,1805172,,1890,,1568
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1814812,1950,1559,1801540,1568,1887,,1565
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1817,1954,1561,1818444,1568,1890,,1567
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1817,1954,1561,1818444,1568,1890,,1567
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1813,1957,1561,1817,1562,1898456,,1565
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1817,1954,1560,1812020,1560,1874,,1567
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1810,1956,1558,1808264,1561,1890,,1568
