Hash,orion,hera,gaeac6
688de8eb,,2172,1977
7e711129,2072,2173,1977
d4bac232,2072,2173,1977
118cff46,2079,2162,1991
071b9f95,2080,2156,1980
dc9cfba6,2080,2175,1979
a180bbe4,,2180,1979
417a2cf1,2075,2177,1990
61e54d9b,2073,2160,1981
ce74044c,2077,2177,1979
d820b67f,2083,2171,1974
5e13aaf2,2081,2177,
e39a250c,2076,2179,
8b52797d,2079,2176,1979
93d51aef,2082,2175,1983
c5b3a3c8,2076,2173,
f9c10462,2085,2135,
0e960577,2082,2179,1983
065def80,2087,2162,1977
995c51d1,2087,2162,1977
1f0ab432,2080,2071,1980
8f8fddc8,2073,2100,1977
24d8dfd4,2074,2069,1993
5750b9e3,2079,2070,1989
a9999828,,2103,1985
9193010a,2068,2090,1997
43f2c3bd,2079,2085,1993
f22b2e11,2079,2085,1993
aebf9781,2070,2070,1988
4cbe50f4,2077,2073,1987
269e181a,2077,2073,1987
68fd7faa,2075,2103,1996
1c5a9f12,2075,2104,1996
aba31a4e,2075,2066,1989
b81282e5,2075,2066,1989
5a297a6e,2065,2084,1994
ff162f36,2075,2079,1989
9e4778cd,2074,2087,1995
4a566203,2074,2075,1998
4f0111b2,2081,2083,1981
c0d4de3c,2077,2070,1980
7cc588ae,2074,2095,1989
9b9a6304,2085,2103,1993
4e75e7b4,2079,2089,1991
69d03840,2078,2083,1991
0d1af3e3,2072,2084,1991
6ece76a2,2087,2094,1988
c5f801e4,2085,2065,1987
f7d8b0cd,2081,2099,1987
a8c1628d,2071,2086,1988
