Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),,1641,1846,,1975,1570,1963,1972
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),2091,1639,1848,,1975,1558,1970,1972
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),2091,1639,1848,,1975,1558,1970,1972
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),2103,1628,1850,1629,1966,,1965,1978
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),2092,1654,1851,,1960,1556,1966,1978
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),2094,1642,1846,,1976,1555,1967,1979
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),,1631,1844,,,1556,1972,1974
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),2092,1655,1848,,,1559,1971,1972
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),2093,1641,1849,,,1567,1970,1970
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",2095,1654,1855,,,1546,1975,1972
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),2088,1643,1849,,,1568,1971,1973
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),2095,1643,,,1971,1557,1971,1974
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),2091,1641,,,1971,1557,1970,1973
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",2098,1630,1848,,1969,1558,1970,1974
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),2093,1632,1840,,1957,1556,1971,1972
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),2097,1647,,,1957,1556,1972,1973
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),2097,1610,,,1962,1547,1971,1971
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",2093,1643,1852,1623,1960,1545,1977,1972
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),2095,1641,1849,,1965,1556,1959,1971
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),2095,1641,1849,1624,1965,,1959,1971
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),2108,1656,1860,,1984,,1986,1982
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),2091,1646,1858,1635,1984,,1986,1982
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),2083,1655,1855,,1979,,1984,1986
5750b9e3,2025-06-20,gcycle update (#2747),2091,1633,1851,,1977,,1960,1986
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),,1644,1852,,1973,,1968,1986
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",2086,1645,1853,,1973,,1966,1985
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),2091,1644,1852,,1973,,1960,1985
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),2091,1644,1852,,1973,,1960,1985
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),2094,1634,1860,,1979,,1960,1983
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",2083,1630,1853,,1988,,1982,1986
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),2083,1630,1853,,1988,,1982,1986
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",2089,1636,1859,,1984,,1968,1983
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",2089,1519,1859,,1984,,1968,1983
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),2077,1510,1861,,1976,,1983,1985
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),2077,1510,1861,,1976,,1983,1985
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),2080,1508,1852,,1984,,1973,1983
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),2090,1500,1852,,1985,,1976,1983
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),2091,1509,1854,,1985,,1977,1980
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),2088,1510,1852,,1984,,1977,1982
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),2087,1506,1849,,1981,,1981,1981
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),2085,1506,1846,,1969,,1984,1981
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),2093,1517,1850,,1984,,1977,1981
9b9a6304,2025-04-11,Memcheck fixes (#2655),2089,1521,1855,,1982,,1978,1982
4e75e7b4,2025-04-10,Update upp submodule to the latest UPP (#2682),2091,1509,1853,,1977,,1978,1987
69d03840,2025-04-07,Use ESMF Redist instead of Remap for FV3 history bundles with 'cubed_sphere_grid' output grid (#2595),2089,1507,1852,,1978,,1978,1986
0d1af3e3,2025-04-02,"Convert GFS DDTs from blocked data structures to contiguous arrays: Part Deux  + CCPP updates in fv3atm/ccpp-physics: split physics in two groups, reset GFS_interstitial DDT in CCPP_driver.F90 #2651 + Hera move spack-stack to /contrib #2579 (#2610)",2086,1519,1852,,1978,,1979,1986
6ece76a2,2025-03-28,Update WW3  by merging develop  as of 2025-03-20 (#2669),2085,1491,1855,,1982,,1978,1989
c5f801e4,2025-03-27,Sync CDEPS and CMEPS to ESCOMP (#2664),2096,1501,1855,,1979,,1978,1987
f7d8b0cd,2025-03-26,"Add support for FV3 native grid (cubed sphere) to history and restart write netcdf routines + Add new cmake variable UFS_COMPILER_SUITE to support mixed Intel compilers (icx, icpx, ifort) #2504 (#2591)",2090,1511,1855,,1985,,1977,1990
a8c1628d,2025-03-24,Introduce prognostic updraft velocity to saSAS and C3 convection schemes (#2567),2093,1510,1855,,1980,,1979,1988
