Hash,orion,hera,gaeac6
688de8eb,,2191,2032
7e711129,2155,2183,2023
d4bac232,2155,2183,2023
118cff46,2169,2194,2026
071b9f95,2171,2196,2031
dc9cfba6,2176,2188,2028
a180bbe4,,2194,2024
417a2cf1,2170,2190,2023
61e54d9b,2160,2188,2031
ce74044c,2171,2184,2034
d820b67f,2170,2189,2030
5e13aaf2,2166,2194,
e39a250c,2166,2190,
8b52797d,2175,2192,2029
93d51aef,2172,2185,2024
c5b3a3c8,2168,2187,
f9c10462,2167,2189,
0e960577,2172,2186,2029
065def80,2170,2182,2026
995c51d1,2170,2182,2026
1f0ab432,2145,2158,2029
8f8fddc8,2146,2163,2021
24d8dfd4,2154,2176,2023
5750b9e3,2155,2176,2022
a9999828,,2165,2024
9193010a,2155,2163,2023
43f2c3bd,2159,2163,2028
f22b2e11,2159,2163,2028
aebf9781,2161,2150,2030
4cbe50f4,2153,2146,2024
269e181a,2153,2146,2024
68fd7faa,2158,2165,2024
1c5a9f12,2158,2168,2024
aba31a4e,,,
b81282e5,,,
5a297a6e,,,
ff162f36,,,
9e4778cd,,,
4a566203,,,
4f0111b2,,,
c0d4de3c,,,
7cc588ae,,,
9b9a6304,,,
4e75e7b4,,,
69d03840,,,
0d1af3e3,,,
6ece76a2,,,
c5f801e4,,,
f7d8b0cd,,,
a8c1628d,,,
