Hash,orion,hera,gaeac6
688de8eb,,2125,1957
7e711129,2022,2117,1956
d4bac232,2022,2117,1956
118cff46,2030,2129,1954
071b9f95,2030,2124,1961
dc9cfba6,2031,2130,1962
a180bbe4,,2132,1953
417a2cf1,2025,2134,1963
61e54d9b,2023,2126,1959
ce74044c,2027,2125,1959
d820b67f,2028,2131,1968
5e13aaf2,2027,2128,
e39a250c,2034,2138,
8b52797d,2027,2120,1953
93d51aef,2014,2139,1961
c5b3a3c8,2018,2144,
f9c10462,2026,2123,
0e960577,2016,2128,1952
065def80,2027,2123,1960
995c51d1,2027,2123,1960
1f0ab432,2028,2051,1961
8f8fddc8,2022,2045,1968
24d8dfd4,2026,2047,1959
5750b9e3,2029,2017,1959
a9999828,,1982,1964
9193010a,2027,2023,1969
43f2c3bd,2028,2046,1958
f22b2e11,2028,2046,1958
aebf9781,2022,2023,1967
4cbe50f4,2037,1992,1961
269e181a,2037,1992,1961
68fd7faa,2026,2057,1962
1c5a9f12,2026,2027,1962
aba31a4e,2027,2005,1955
b81282e5,2027,2005,1955
5a297a6e,2016,1984,1961
ff162f36,2036,2008,1967
9e4778cd,2017,2013,1963
4a566203,2027,2011,1965
4f0111b2,2021,2024,1952
c0d4de3c,2028,2007,1966
7cc588ae,2027,2043,1964
9b9a6304,2031,2037,1961
4e75e7b4,2022,2047,1968
69d03840,2030,2003,1956
0d1af3e3,2026,2046,1956
6ece76a2,2020,2028,1972
c5f801e4,2033,2042,1964
f7d8b0cd,2033,2008,1968
a8c1628d,2029,2025,1970
