Hash,orion,hera,gaeac6
688de8eb,,1943,1905
7e711129,1939,1940,1914
d4bac232,1939,1940,1914
118cff46,1945,1932,1922
071b9f95,1940,1945,1909
dc9cfba6,1948,1946,1910
a180bbe4,,1901,1908
417a2cf1,1942,1940,1910
61e54d9b,1939,1944,1913
ce74044c,1933,1952,1913
d820b67f,1946,1940,1910
5e13aaf2,1936,1942,
e39a250c,1938,1940,
8b52797d,1936,1928,1912
93d51aef,1942,1950,1909
c5b3a3c8,1940,1942,
f9c10462,1937,1941,
0e960577,1934,1940,1907
065def80,1938,1932,1909
995c51d1,1938,1932,1909
1f0ab432,1936,1939,1912
8f8fddc8,1934,1949,1909
24d8dfd4,1941,1944,1914
5750b9e3,1941,1951,1907
a9999828,,1952,1906
9193010a,1938,1959,1916
43f2c3bd,1949,1960,1921
f22b2e11,1949,1960,1921
aebf9781,1941,1936,1916
4cbe50f4,1943,1928,1907
269e181a,1943,1928,1907
68fd7faa,1938,1955,1909
1c5a9f12,1938,1943,1909
aba31a4e,1942,1927,1905
b81282e5,1942,1927,1905
5a297a6e,1940,1927,1914
ff162f36,1936,1936,1916
9e4778cd,1936,1938,1914
4a566203,1938,1931,1911
4f0111b2,1944,1937,1913
c0d4de3c,1935,1927,1915
7cc588ae,1936,1957,1919
9b9a6304,1938,1956,1913
4e75e7b4,1935,1958,1914
69d03840,1946,1916,1915
0d1af3e3,1949,1953,1915
6ece76a2,1934,1952,1919
c5f801e4,1942,1951,1918
f7d8b0cd,1943,1937,1923
a8c1628d,1938,1937,1917
