Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),1509,1532,1377,1507,,1486,1394,1396
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),1498,1533,1377,1504,,1489,1395,1395
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),1506,1532,1376,1509,,1486,1396,1395
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1506,1532,1380,1506,,1488,1393,1396
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1507,1530,1379,1507448,,1489,1395,1396
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1508660,1532,1379,1506464,1384,1489,1393,1395
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1507,1531,1378,1505480,1384,1488,1394,1396
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1507,1531,1378,1505480,1384,1488,1394,1396
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1514,1539,1381,1511,1388,1490076,1393,1397
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1512,1532,1379,1510944,1388,1491,1395,1395
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1511,1537,1380,1512792,1386,1488,1393,1397
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1508952,1539,1381,1507836,1386348,1488,1394,1402
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1505,1535,1380,1508192,1386984,1489,1393,1400
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1505,1534,1380,1508600,1387200,1489,1393,1401
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1498,1539,1378,1507840,1387872,1488,1393,1401
