Hash,orion,hera,gaeac6
688de8eb,,2518,2291
7e711129,2478,2528,2292
d4bac232,2478,2528,2292
118cff46,2482,2516,2304
071b9f95,2485,2518,2303
dc9cfba6,2489,2526,2304
a180bbe4,,2510,2280
417a2cf1,2480,2499,2283
61e54d9b,2479,2509,2294
ce74044c,2482,2533,2305
d820b67f,2475,2536,2280
5e13aaf2,2483,2544,
e39a250c,2481,2539,
8b52797d,2477,2544,2291
93d51aef,2460,2528,2297
c5b3a3c8,2487,2513,
f9c10462,2474,2524,
0e960577,2479,2521,2289
065def80,2486,2531,2290
995c51d1,2486,2531,2290
1f0ab432,2473,2481,2282
8f8fddc8,2467,2465,2299
24d8dfd4,2453,2470,2281
5750b9e3,2452,2486,2280
a9999828,,2482,2289
9193010a,2458,2478,2286
43f2c3bd,2463,2465,2286
f22b2e11,2463,2465,2286
aebf9781,2457,2463,2290
4cbe50f4,2448,2448,2283
269e181a,2448,2448,2283
68fd7faa,2457,2464,2285
1c5a9f12,2457,2466,2285
aba31a4e,,,
b81282e5,,,
5a297a6e,,,
ff162f36,,,
9e4778cd,,,
4a566203,,,
4f0111b2,,,
c0d4de3c,,,
7cc588ae,,,
9b9a6304,,,
4e75e7b4,,,
69d03840,,,
0d1af3e3,,,
6ece76a2,,,
c5f801e4,,,
f7d8b0cd,,,
a8c1628d,,,
