Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),1258,1369,1110,1423,,1644,1101,1101
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),1254,1363,1109,1418,,1667,1101,1101
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),1264,1370,1092,1426,,1687,1105,1100
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),1261,1374,1110,1407,,1670,1103,1100
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1265,1358,1099,1422,,1667,1104,1101
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1265,1372,1113,1420488,,1663,1103,1100
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1263356,1370,1110,1407236,1096,1648,1100,1100
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1249,1374,1109,1409128,1096,1680,1100,1104
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1249,1374,1109,1409128,1096,1680,1100,1104
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1268,1380,1099,1424,1102,1643064,1101,1100
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1264,1380,1099,1424972,1101,1684,1097,1101
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1267,1367,1100,1427488,1088,1677,1109,1101
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1249424,1378,1113,1411156,1100736,1632,1101,1108
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1262,1376,1102,1410968,1100780,1657,1102,1107
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1257,1378,1113,1405080,1097872,1685,1102,1109
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1261,1375,1114,1419856,1086932,1637,1102,1106
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1267,1388,1112,1409112,1101232,1677,1105,1102
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1252,1378,1110596,1426416,,1662,1105,1102
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1265,1378,1109740,1409904,1102,1685,1105,1108
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1269,1371,1094,1419956,1099,1626,1104,1102
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1263,1375,1110,1424544,1084,1623,1105,1105
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1266,1376,1113456,1414000,1086,1674,1104,1102
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1264,1376,1095212,1402196,1100,1672,1103,1103
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1248,1377,1108,1421,1099,1680,1104,1102
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1259,1374,1114,1420328,1100,1637,1095,1104
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1259,1374,1114,1409,1100,,1095,1104
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1255,1275,1098,1415696,1098,,1100,1103
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1259,1267,1091,1400,1105,,1105,1101
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1249,1283,1116,1424068,1095,,1106,1104
5750b9e3,2025-06-20,gcycle update (#2747),1250,1281,1102,1432648,1086,,1099,1103
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1256060,1284,1103,1409556,1096,,1098,1103
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1261,1269,1114,1419,,,1093,1102
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),1258,1264,1115,1414004,1107,,1094,1104
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),1258,1264,1115,1414004,1107,,1094,1104
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1259,1271,1113,1419136,1109,,1093,1111
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1239,1263,1117,1415208,1101,,1093,1109
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1239,1263,1117,1415208,1101,,1093,1109
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",1252,1282,1114,1398608,1096,,1091,1103
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",1252,1304,1114,1416944,1096,,1091,1103
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),1254,1247,1088,1415832,1106,,1105,1099
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),1254,1247,1088,1402724,1106,,1105,1099
