Hash,orion,hera,gaeac6
688de8eb,,2184,2029
7e711129,2165,2190,2021
d4bac232,2165,2190,2021
118cff46,2174,2185,2032
071b9f95,2171,2185,2029
dc9cfba6,2171,2184,2026
a180bbe4,,2192,2031
417a2cf1,2158,2192,2031
61e54d9b,2167,2193,2033
ce74044c,2169,2195,2026
d820b67f,2159,2189,2028
5e13aaf2,2162,2190,
e39a250c,2168,2196,
8b52797d,2170,2192,2032
93d51aef,2162,2194,2022
c5b3a3c8,2167,2186,
f9c10462,2167,2185,
0e960577,2169,2183,2030
065def80,2167,2183,2019
995c51d1,2167,2183,2019
1f0ab432,2154,2156,2022
8f8fddc8,2153,2172,2025
24d8dfd4,2155,2159,2032
5750b9e3,2154,2163,2024
a9999828,,2161,2026
9193010a,2154,2160,2031
43f2c3bd,2155,2161,2023
f22b2e11,2155,2161,2023
aebf9781,2154,2147,2025
4cbe50f4,2154,2146,2030
269e181a,2154,2146,2030
68fd7faa,2156,2165,2027
1c5a9f12,2156,2158,2027
aba31a4e,,,
b81282e5,,,
5a297a6e,,,
ff162f36,,,
9e4778cd,,,
4a566203,,,
4f0111b2,,,
c0d4de3c,,,
7cc588ae,,,
9b9a6304,,,
4e75e7b4,,,
69d03840,,,
0d1af3e3,,,
6ece76a2,,,
c5f801e4,,,
f7d8b0cd,,,
a8c1628d,,,
