Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),2324,2364,2228,2415,2233,3038,3621,3594
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),2328,2387,2232,2407364,2233,3049,3619,3583
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),2319420,2369,2232,2406952,2233,3042,3619,3581
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),2324,2382,2233,2419036,2233,3033,3622,3589
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),2324,2382,2233,2419036,2233,3033,3622,3589
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),2325,2363,2231,2407,2225,3036844,3621,3590
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),2327,2381,2228,2420212,2219,3058,3621,3577
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),2328,2375,2232,2422688,2221,3043,3620,3587
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),2336576,2381,2225,2423636,2225392,3048,3624,3579
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),2335,2371,2225,2423536,2222036,3050,3621,3579
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),2327,2372,2232,2420860,2226692,3052,3621,3599
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",2324,2374,2229,2423388,2224988,3052,3621,3577
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),2307,2353,2230,2411304,2221244,3051,3607,3582
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),2309,2362,2237864,2408044,2225,3014,3475,3441
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),2312,2360,2225840,2410100,2225,3008,3473,3442
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",2316,2366,2226,2412612,2218,3011,3473,3443
