Hash,orion,hera,gaeac6
688de8eb,,3062,
7e711129,3071,3044,
d4bac232,3071,3044,
118cff46,3061,3008,
071b9f95,3071,3050,
dc9cfba6,3069,3065,
a180bbe4,3069,3051,
417a2cf1,3071,3038,
61e54d9b,3074,3032,
ce74044c,3066,3039,
d820b67f,3064,3031,
5e13aaf2,3052,3051,
e39a250c,3061,3030,
8b52797d,3058,3051,
93d51aef,3059,3060,
c5b3a3c8,3034,3058,
f9c10462,3064,3051,
0e960577,3061,3033,
065def80,3064,3050,
995c51d1,3064,3050,
1f0ab432,3068,4383,3064
8f8fddc8,3072,4407,3067
24d8dfd4,3029,4415,3058
5750b9e3,3055,4390,3058
a9999828,3061,4381,3054
9193010a,3056,4531,3058
43f2c3bd,3048,4476,3058
f22b2e11,3048,4476,3058
aebf9781,3058,4472,3051
4cbe50f4,3047,4366,3059
269e181a,3047,4366,3059
68fd7faa,3058,4357,3051
1c5a9f12,3058,4463,3051
aba31a4e,3058,4348,3053
b81282e5,3058,4348,3053
5a297a6e,3045,4333,3053
ff162f36,3042,4357,3057
9e4778cd,3062,4353,3054
4a566203,3014,4359,3047
4f0111b2,3047,4359,3060
c0d4de3c,3047,4347,3048
7cc588ae,3032,4375,3041
9b9a6304,3047,4378,3054
4e75e7b4,3027,4373,3054
69d03840,3045,4348,3044
0d1af3e3,3048,4378,3044
6ece76a2,3050,4359,3073
c5f801e4,3053,4354,3068
f7d8b0cd,3055,4376,3065
a8c1628d,3063,4365,3063
