Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),2145,2277,1942,2335,1929,2577,1933,1948
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),2118,2266,1952,2343936,1929,2633,1931,1948
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),2135772,2261,1952,2342092,1929,2597,1933,1948
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),2130,2279,1954,2339388,1929,2620,1948,1947
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),2130,2279,1954,2339388,1929,2620,1948,1947
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),2136,2280,1949,2320,1926,2582192,1930,1953
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),2118,2280,1954,2325412,1933,2590,1928,1948
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),2126,2280,1946,2349068,1935,2618,1947,1963
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),2140616,2278,1945,2333672,1938564,2577,1945,1944
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),2143,2275,1950,2306648,1921652,2621,1960,1957
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),2130,2273,1948,2336416,1928364,2610,1941,1943
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",2123,2269,1937,2325108,1931060,2628,1949,1943
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),2142,2277,1954,2320240,1932496,2597,1944,1943
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),2134,2277,1952440,2323340,1930,2574,1940,1944
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),2137,2276,1937732,2321060,1930,2585,1970,1937
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",2118,2275,1945,2312572,1929,2633,1944,1943
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),2138,2280,1944,2340872,1907,2587,1959,1944
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),2124,2280,1930316,2325380,1929,2609,1946,1951
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),2138,2276,1952724,2318156,1929,2580,1947,1939
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",2145,2275,1939,2330,1928,2600,1947,1944
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),2146,2279,1948,2314436,1917,2593,1927,1947
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),2146,2279,1948,2326,1917,,1927,1947
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),2137,2142,1955,2308000,1934,,1936,1945
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),2141,2174,1947,2321,1923,,1945,1942
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),2139,2183,1951,2328188,1934,,1961,1942
5750b9e3,2025-06-20,gcycle update (#2747),2146,2180,1933,2311192,1928,,1926,1942
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),2121828,2180,1930,2324380,1934,,1926,1939
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",2143,2169,1950,2306,1921,,1931,1943
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),2118,2179,1925,2313896,1921,,1913,1942
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),2118,2179,1925,2313896,1921,,1913,1942
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),2147,2162,1939,2322452,1935,,1940,1942
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",2129,2131,1943,2321200,1936,,1934,1947
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),2129,2131,1943,2321200,1936,,1934,1947
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",2138,2173,1945,2327020,1943,,1944,1945
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",2138,2184,1945,2315448,1943,,1944,1945
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),2143,2166,1943,2315932,1936,,1926,1941
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),2143,2166,1943,2319376,1936,,1926,1941
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),2125,2163,1943,2341568,1937,,1943,1940
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),2140,2134,1939,2324164,1937,,1927,1954
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),2132,2146,1927,2307032,1938,,1931,1950
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),2164,2136,1940,2323320,1943,,1943,1943
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),2130,2150,1942,2304664,1929,,1962,1932
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),2117,2140,1955,2337836,1938,,1938,1937
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),2140,2171,1943,2304044,1943,,1945,1941
9b9a6304,2025-04-11,Memcheck fixes (#2655),2128,2171,1947,2344056,1936,,1944,1943
4e75e7b4,2025-04-10,Update upp submodule to the latest UPP (#2682),2133,2166,1946,2322184,1951,,1946,1948
69d03840,2025-04-07,Use ESMF Redist instead of Remap for FV3 history bundles with 'cubed_sphere_grid' output grid (#2595),2137,2158,1951,2345052,1932,,1945,1964
0d1af3e3,2025-04-02,"Convert GFS DDTs from blocked data structures to contiguous arrays: Part Deux  + CCPP updates in fv3atm/ccpp-physics: split physics in two groups, reset GFS_interstitial DDT in CCPP_driver.F90 #2651 + Hera move spack-stack to /contrib #2579 (#2610)",2139,2215,1951,2352756,1946,,1947,1951
6ece76a2,2025-03-28,Update WW3  by merging develop  as of 2025-03-20 (#2669),2154,2159,1942,2320412,1947,,1952,1955
c5f801e4,2025-03-27,Sync CDEPS and CMEPS to ESCOMP (#2664),2143,2175,1951,2335572,1943,,1952,1948
