Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1976956,2080,1920,2027672,1900,2068,1903,1902
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1977,2081,1921,2025368,1900,2068,1902,1902
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1977,2081,1921,2025368,1900,2068,1902,1902
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1968,2084,1916,2028,1905,2055228,1901,1906
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1978,2087,1924,2030604,1903,2058,1898,1905
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1978,2085,1920,2029948,1903,2072,1901,1907
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1970212,2088,1923,2027872,1896068,2061,1903,1900
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1967,2085,1921,2024760,1900700,2076,1903,1899
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1967,2077,1910,2015040,1895124,2070,1902,1900
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1967,2072,1918,2019144,1898660,2060,1903,1900
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1964,2069,1918,2024776,1898280,2061,1900,1902
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1974,2071,1910860,2025756,1907,2054,1901,1900
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1975,2074,1915352,2029716,1907,2057,1901,1899
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1971,2078,1914,2018016,1904,2050,1900,1899
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1963,2085,1917,2023332,1901,2065,1902,1900
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1966,2086,1916972,2022096,1901,2061,1903,1901
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1961,2083,1919840,2022664,1903,2071,1901,1902
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1972,2079,1922,2024,1897,2058,1902,1899
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1970,2066,1923,2021280,1905,2056,1903,1902
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1970,2066,1923,2010,1905,,1903,1902
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1962,1985,1927,2015564,1912,,1899,1904
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1964,2005,1922,2013,1902,,1904,1911
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1965,2000,1911,2023916,1905,,1906,1902
5750b9e3,2025-06-20,gcycle update (#2747),1969,1989,1914,2020208,1901,,1906,1902
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1967220,2004,1916,2013968,1899,,1907,1903
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1971,1986,1917,2026,1911,,1906,1901
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),1973,1999,1916,2016496,1911,,1906,1900
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),1973,1999,1916,2016496,1911,,1906,1900
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1967,1971,1919,2018332,1901,,1907,1901
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1967,1983,1917,2030176,1908,,1908,1900
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1967,1983,1917,2030176,1908,,1908,1900
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",1970,2002,1921,2021132,1910,,1905,1902
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",1970,2004,1921,2019332,1910,,1905,1902
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),1968,1975,1913,2023872,1902,,1906,1900
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),1968,1975,1913,2027196,1902,,1906,1900
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),1963,1979,1916,2028896,1899,,1906,1897
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),1963,1989,1918,2025536,1905,,1902,1901
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),1961,1978,1917,2015360,1902,,1903,1902
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),1962,1964,1916,2016796,1909,,1904,1902
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),1971,1984,1915,2015892,1900,,1904,1897
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),1972,1989,1918,2014740,1907,,1903,1897
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),1963,1996,1912,2012096,1910,,1904,1902
9b9a6304,2025-04-11,Memcheck fixes (#2655),1973,1996,1915,2015636,1905,,1904,1906
4e75e7b4,2025-04-10,Update upp submodule to the latest UPP (#2682),1968,2000,1920,2014488,1918,,1904,1906
69d03840,2025-04-07,Use ESMF Redist instead of Remap for FV3 history bundles with 'cubed_sphere_grid' output grid (#2595),1967,1990,1920,2024680,1910,,1904,1906
0d1af3e3,2025-04-02,"Convert GFS DDTs from blocked data structures to contiguous arrays: Part Deux  + CCPP updates in fv3atm/ccpp-physics: split physics in two groups, reset GFS_interstitial DDT in CCPP_driver.F90 #2651 + Hera move spack-stack to /contrib #2579 (#2610)",1964,1973,1920,2021880,1899,,1905,1905
6ece76a2,2025-03-28,Update WW3  by merging develop  as of 2025-03-20 (#2669),1966,1975,1919,2024756,1909,,1902,1906
